character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Twin Peaks played,The Battle for Gilneas played,Temple of Kotmogu played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Twin Peaks won,The Battle for Gilneas won,Temple of Kotmogu won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Ashran win_rate,Deepwind Gorge win_rate,Ashran played,Deepwind Gorge played,Ashran won,Deepwind Gorge won,Isle of Conquest win_rate,Silvershard Mines win_rate,Rated Eye of the Storm win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin win_rate,Isle of Conquest played,Silvershard Mines played,Rated Eye of the Storm played,Deepwind Gorge (Legacy) played,Arathi Basin played,Isle of Conquest won,Silvershard Mines won,Rated Eye of the Storm won,Deepwind Gorge (Legacy) won,Arathi Basin won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
127645662,Krionte,nemesis,18.0,14735.0,41.0,53.0,54.0,56.0,46.0,50.0,80.0,50.0,17.0,,,70.0,43.0,39.0,18.0,13.0,8.0,5.0,14.0,6.0,,,29.0,23.0,21.0,10.0,6.0,4.0,4.0,7.0,1.0,,,100.0,0.0,1.0,1.0,1.0,0.0,46.0,60.0,400.0,56.0,0.0,13.0,10.0,2.0,9.0,2.0,6.0,6.0,8.0,5.0,0.0,71.0,7.0,5.0,,,,,,,,,,,,
129841285,Arathõr,archimonde,31.0,8023.0,62.0,33.0,56.0,36.0,57.0,57.0,57.0,41.0,50.0,100.0,50.0,16.0,18.0,18.0,11.0,7.0,14.0,14.0,29.0,4.0,1.0,2.0,10.0,6.0,10.0,4.0,4.0,8.0,8.0,12.0,2.0,1.0,1.0,,,,,,,33.0,36.0,,33.0,50.0,18.0,22.0,,15.0,2.0,6.0,8.0,,5.0,1.0,,,,,,,,,,,,,,,
130519122,Xarzin,draenor,30.0,109624.0,42.0,67.0,63.0,59.0,57.0,62.0,68.0,46.0,69.0,44.0,33.0,387.0,628.0,541.0,283.0,282.0,154.0,192.0,52.0,13.0,18.0,6.0,163.0,418.0,340.0,167.0,162.0,95.0,130.0,24.0,9.0,8.0,2.0,36.0,54.0,11.0,24.0,4.0,13.0,52.0,57.0,1036.0,53.0,33.0,251.0,53.0,14.0,19.0,18.0,131.0,30.0,145.0,10.0,6.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,,,
97450151,Asetia,tarren-mill,9.0,4266.0,17.0,20.0,79.0,57.0,72.0,83.0,52.0,80.0,0.0,,,6.0,10.0,14.0,7.0,18.0,6.0,23.0,10.0,1.0,,,1.0,2.0,11.0,4.0,13.0,5.0,12.0,8.0,0.0,,,,0.0,,1.0,,0.0,,76.0,,40.0,,,17.0,,10.0,,,13.0,,4.0,,,,,,,,,,,,,,,,
136972478,Judgemegood,thrall,27.0,615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,3.0,3.0,,,,,,,,,,,,
162452703,Àpäla,magtheridon,5.0,416.0,,,,100.0,,,,,50.0,0.0,,,,,2.0,,,,,2.0,1.0,,,,,2.0,,,,,1.0,0.0,,,,,,,,,100.0,,,0.0,,1.0,,,1.0,,1.0,,,0.0,,,,,,,,,,,,,,,
127329769,Meübius,sargeras,4.0,825.0,75.0,,,50.0,,,100.0,,0.0,0.0,0.0,4.0,,,2.0,,,1.0,,1.0,1.0,1.0,3.0,,,1.0,,,1.0,,0.0,0.0,0.0,,,,,,,0.0,,,,0.0,1.0,,,,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,
146405353,Pates,burning-blade,8.0,3396.0,78.0,33.0,0.0,60.0,,0.0,75.0,50.0,67.0,50.0,62.0,9.0,3.0,2.0,5.0,,2.0,4.0,2.0,6.0,2.0,8.0,7.0,1.0,0.0,3.0,,0.0,3.0,1.0,4.0,1.0,5.0,50.0,0.0,2.0,1.0,1.0,0.0,40.0,0.0,,40.0,100.0,5.0,2.0,,5.0,2.0,2.0,0.0,,2.0,2.0,,,,,,,,,,,,,,,
108787151,Thorred,sargeras,23.0,2222.0,0.0,60.0,50.0,0.0,0.0,38.0,50.0,60.0,,,100.0,3.0,5.0,2.0,2.0,3.0,8.0,4.0,5.0,,,1.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,3.0,,,1.0,,,,,,,,33.0,,100.0,0.0,,3.0,,2.0,1.0,,1.0,,2.0,0.0,,,,50.0,2.0,1.0,,,,,,,,,
117103461,Pölenta,ysondre,39.0,4075.0,56.0,,,25.0,,17.0,67.0,18.0,67.0,57.0,83.0,9.0,,,4.0,,6.0,6.0,11.0,6.0,7.0,6.0,5.0,,,1.0,,1.0,4.0,2.0,4.0,4.0,5.0,67.0,40.0,3.0,10.0,2.0,4.0,100.0,90.0,50.0,,54.0,1.0,10.0,2.0,,13.0,1.0,9.0,1.0,,7.0,0.0,2.0,0.0,100.0,2.0,2.0,100.0,5.0,5.0,,,,,,
