character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Ashran win_rate,Deepwind Gorge win_rate,Ashran played,Deepwind Gorge played,Ashran won,Deepwind Gorge won,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Arathi Basin Winter played,Cooking: Impossible played,Arathi Basin Winter won,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
127865219,Аннериан,goldrinn,79.0,15700.0,43.0,42.0,50.0,68.0,62.0,38.0,70.0,66.0,57.0,0.0,63.0,58.0,62.0,58.0,76.0,,,,7.0,24.0,38.0,44.0,29.0,13.0,43.0,38.0,58.0,1.0,43.0,43.0,21.0,19.0,17.0,,,,3.0,10.0,19.0,30.0,18.0,5.0,30.0,25.0,33.0,0.0,27.0,25.0,13.0,11.0,13.0,,,,,33.0,,12.0,,4.0,100.0,,1.0,,1.0,,,,
164011528,Báan,kazzak,16.0,879.0,0.0,50.0,0.0,0.0,67.0,,,50.0,,,67.0,50.0,,,,,,,4.0,4.0,2.0,3.0,3.0,,,2.0,,,3.0,2.0,,,,,,,0.0,2.0,0.0,0.0,2.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
137693709,Попалка,galakrond,7.0,615.0,100.0,,,50.0,,80.0,,100.0,100.0,,,,,,0.0,0.0,,,2.0,,,2.0,,5.0,,1.0,1.0,,,,,,1.0,2.0,,,2.0,,,1.0,,4.0,,1.0,1.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
45422692,Богал,azuregos,16.0,12527.0,50.0,48.0,54.0,51.0,33.0,71.0,46.0,38.0,64.0,,80.0,67.0,82.0,100.0,0.0,25.0,,,20.0,23.0,26.0,35.0,15.0,24.0,35.0,8.0,28.0,,10.0,3.0,11.0,2.0,1.0,4.0,,,10.0,11.0,14.0,18.0,5.0,17.0,16.0,3.0,18.0,,8.0,2.0,9.0,2.0,0.0,1.0,,,100.0,,1.0,,1.0,,,,,,,,,,
194770582,Cevans,silvermoon,18.0,648.0,33.0,,,67.0,,100.0,,50.0,0.0,,67.0,,100.0,0.0,100.0,100.0,,,3.0,,,3.0,,1.0,,2.0,1.0,,3.0,,1.0,1.0,1.0,2.0,,,1.0,,,2.0,,1.0,,1.0,0.0,,2.0,,1.0,0.0,1.0,2.0,,,0.0,,1.0,,0.0,,,,,,,,,,
180191286,Альтошка,gordunni,17.0,3076.0,75.0,33.0,,67.0,,0.0,25.0,43.0,67.0,,25.0,0.0,71.0,100.0,0.0,50.0,,,4.0,6.0,,3.0,,1.0,4.0,7.0,6.0,,4.0,1.0,7.0,1.0,2.0,2.0,,,3.0,2.0,,2.0,,0.0,1.0,3.0,4.0,,1.0,0.0,5.0,1.0,0.0,1.0,,,100.0,33.0,2.0,3.0,2.0,1.0,,,,,,,,,
149922389,Verdikt,alleria,13.0,3767.0,60.0,50.0,20.0,100.0,0.0,100.0,31.0,40.0,67.0,,43.0,67.0,0.0,57.0,,80.0,100.0,,5.0,8.0,5.0,9.0,1.0,4.0,13.0,5.0,3.0,,14.0,3.0,4.0,7.0,,5.0,4.0,,3.0,4.0,1.0,9.0,0.0,4.0,4.0,2.0,2.0,,6.0,2.0,0.0,4.0,,4.0,4.0,,,100.0,,2.0,,2.0,,,,,,,,,
238743096,Старгейт,greymane,15.0,40307.0,75.0,83.0,54.0,64.0,52.0,46.0,92.0,92.0,64.0,,88.0,88.0,0.0,100.0,100.0,80.0,,,63.0,77.0,89.0,67.0,91.0,26.0,13.0,12.0,14.0,,17.0,8.0,1.0,1.0,1.0,5.0,,,47.0,64.0,48.0,43.0,47.0,12.0,12.0,11.0,9.0,,15.0,7.0,0.0,1.0,1.0,4.0,,,80.0,,5.0,,4.0,,100.0,,2.0,,2.0,,,,
202638241,Гввиневра,gordunni,174.0,3793.0,25.0,,,0.0,,60.0,100.0,,,,0.0,,100.0,100.0,0.0,50.0,,8.0,4.0,,,1.0,,5.0,1.0,,,,1.0,,2.0,2.0,1.0,2.0,,24.0,1.0,,,0.0,,3.0,1.0,,,,0.0,,2.0,2.0,0.0,1.0,,2.0,50.0,100.0,4.0,1.0,2.0,1.0,,,,,,,,,
169060728,Кирвиса,gordunni,59.0,8430.0,75.0,69.0,67.0,67.0,0.0,80.0,55.0,50.0,56.0,,57.0,43.0,133.0,0.0,43.0,0.0,100.0,,4.0,13.0,6.0,9.0,2.0,5.0,22.0,14.0,16.0,,23.0,7.0,6.0,2.0,7.0,1.0,1.0,,3.0,9.0,4.0,6.0,0.0,4.0,12.0,7.0,9.0,,13.0,3.0,8.0,0.0,3.0,0.0,1.0,,,0.0,,2.0,,0.0,0.0,,2.0,,0.0,,,,
