character.id,character.name,character.realm.slug,honor_level,honorable_kills,Eye of the Storm win_rate,Isle of Conquest win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Deepwind Gorge win_rate,Eye of the Storm played,Isle of Conquest played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Deepwind Gorge played,Eye of the Storm won,Isle of Conquest won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,Deepwind Gorge (Legacy) win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,Deepwind Gorge (Legacy) played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,Deepwind Gorge (Legacy) won,Battle for Wintergrasp won,Arathi Basin Winter win_rate,Arathi Basin win_rate,Arathi Basin Winter played,Arathi Basin played,Arathi Basin Winter won,Arathi Basin won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
194657207,Анскет,soulflayer,7.0,1589.0,50.0,0.0,57.0,,40.0,,17.0,57.0,50.0,2.0,1.0,7.0,,5.0,,6.0,7.0,2.0,1.0,0.0,4.0,,2.0,,1.0,4.0,1.0,50.0,,,,50.0,83.0,,,2.0,,,,4.0,6.0,,,1.0,,,,2.0,5.0,,,,33.0,,3.0,,1.0,,,,,,,,,,,,
116830495,Collydin,magtheridon,13.0,2213.0,50.0,0.0,44.0,0.0,69.0,50.0,42.0,62.0,62.0,2.0,1.0,9.0,2.0,13.0,2.0,12.0,8.0,8.0,1.0,0.0,4.0,0.0,9.0,1.0,5.0,5.0,5.0,100.0,,,,33.0,38.0,,50.0,2.0,,,,6.0,8.0,,2.0,2.0,,,,2.0,3.0,,1.0,100.0,67.0,1.0,6.0,1.0,4.0,,,,,,,,,,,,
62167088,Pala,aggramar,15.0,6720.0,68.0,50.0,50.0,,40.0,,67.0,,,19.0,4.0,2.0,,5.0,,3.0,,,13.0,2.0,1.0,,2.0,,2.0,,,57.0,50.0,68.0,50.0,50.0,50.0,100.0,,35.0,20.0,41.0,10.0,2.0,4.0,1.0,,20.0,10.0,28.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
174948319,Яктылыкулы,howling-fjord,83.0,1198.0,50.0,,40.0,,40.0,,80.0,22.0,43.0,2.0,,5.0,,5.0,,5.0,9.0,7.0,1.0,,2.0,,2.0,,4.0,2.0,3.0,,,,,0.0,67.0,,,,,,,5.0,3.0,,,,,,,0.0,2.0,,,,67.0,,3.0,,2.0,,,,,,,,,,,,
140807295,Викорд,eversong,40.0,474.0,0.0,100.0,100.0,,0.0,,,,,2.0,1.0,1.0,,2.0,,,,,0.0,1.0,1.0,,0.0,,,,,,,,,0.0,50.0,,,,,,,3.0,2.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
193616875,Seraud,archimonde,57.0,3131.0,25.0,33.0,22.0,100.0,22.0,0.0,50.0,56.0,40.0,8.0,3.0,9.0,1.0,9.0,2.0,2.0,9.0,5.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,5.0,2.0,100.0,,,,33.0,0.0,,0.0,1.0,,,,6.0,6.0,,4.0,1.0,,,,2.0,0.0,,0.0,,67.0,,6.0,,4.0,,,,,,,,,,,,
169495837,Глуссий,fordragon,6.0,1942.0,0.0,,40.0,,50.0,40.0,60.0,50.0,50.0,1.0,,5.0,,6.0,5.0,5.0,4.0,4.0,0.0,,2.0,,3.0,2.0,3.0,2.0,2.0,0.0,,,,25.0,50.0,,75.0,5.0,,,,4.0,2.0,,4.0,0.0,,,,1.0,1.0,,3.0,,33.0,,3.0,,1.0,,,,,,,,,,,,
97362139,Буллстрит,gordunni,2.0,1962.0,50.0,,33.0,,36.0,,,,,4.0,,3.0,,11.0,,,,,2.0,,1.0,,4.0,,,,,0.0,100.0,67.0,0.0,100.0,44.0,0.0,,2.0,1.0,3.0,5.0,1.0,9.0,3.0,,0.0,1.0,2.0,0.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,
194079542,Kristal,silvermoon,20.0,2808.0,75.0,60.0,60.0,,20.0,43.0,20.0,44.0,75.0,4.0,5.0,5.0,,5.0,7.0,5.0,9.0,8.0,3.0,3.0,3.0,,1.0,3.0,1.0,4.0,6.0,17.0,,,,50.0,38.0,,0.0,6.0,,,,2.0,8.0,,5.0,1.0,,,,1.0,3.0,,0.0,,25.0,,4.0,,1.0,,,,,,,,,,,,
135381614,Асуунар,azuregos,14.0,5964.0,69.0,60.0,53.0,,71.0,,71.0,80.0,,13.0,5.0,19.0,,21.0,,7.0,5.0,,9.0,3.0,10.0,,15.0,,5.0,4.0,,57.0,45.0,40.0,43.0,45.0,35.0,29.0,60.0,7.0,11.0,10.0,7.0,22.0,17.0,7.0,5.0,4.0,5.0,4.0,3.0,10.0,6.0,2.0,3.0,,57.0,,7.0,,4.0,,,,,,,,,,,,
175435812,Araquiël,dalaran,5.0,3856.0,,,,,50.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,0.0,0.0,50.0,50.0,,50.0,,,1.0,2.0,2.0,2.0,,2.0,,,0.0,0.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
174775117,Обсрёня,gordunni,10.0,2742.0,20.0,100.0,67.0,,40.0,,40.0,45.0,20.0,5.0,1.0,6.0,,15.0,,10.0,20.0,5.0,1.0,1.0,4.0,,6.0,,4.0,9.0,1.0,,,,,40.0,33.0,60.0,,,,,,5.0,6.0,5.0,,,,,,2.0,2.0,3.0,,,100.0,,4.0,,4.0,,,,,,,,,,,,
132279404,Holychet,steamwheedle-cartel,35.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,0.0,,,0.0,3.0,,,,1.0,,,1.0,2.0,,,,0.0,,,0.0,,100.0,,1.0,,1.0,,,,,,,,,,,,
