character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
133289054,Babadins,ravencrest,21.0,2549.0,50.0,,,33.0,,,60.0,56.0,56.0,57.0,,67.0,50.0,44.0,80.0,0.0,50.0,2.0,,,3.0,,,10.0,9.0,9.0,7.0,,3.0,8.0,9.0,5.0,1.0,4.0,1.0,,,1.0,,,6.0,5.0,5.0,4.0,,2.0,4.0,4.0,4.0,0.0,2.0,,,,,,,50.0,4.0,2.0,100.0,1.0,1.0,,,,,,
185122145,Кромвар,gordunni,79.0,11551.0,50.0,29.0,33.0,77.0,80.0,50.0,57.0,72.0,42.0,56.0,83.0,100.0,55.0,53.0,71.0,0.0,100.0,10.0,7.0,6.0,13.0,5.0,6.0,21.0,18.0,24.0,16.0,6.0,2.0,11.0,15.0,7.0,3.0,5.0,5.0,2.0,2.0,10.0,4.0,3.0,12.0,13.0,10.0,9.0,5.0,2.0,6.0,8.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,
176523884,Zaintadin,ragnaros,13.0,540.0,,,,100.0,,,0.0,50.0,0.0,0.0,,,100.0,100.0,25.0,,67.0,,,,1.0,,,1.0,2.0,1.0,2.0,,,1.0,2.0,4.0,,3.0,,,,1.0,,,0.0,1.0,0.0,0.0,,,1.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,
93539639,Emergency,aggra-português,7.0,2876.0,58.0,25.0,67.0,25.0,50.0,75.0,57.0,67.0,67.0,100.0,,100.0,0.0,50.0,0.0,33.0,0.0,19.0,4.0,3.0,4.0,4.0,4.0,7.0,3.0,6.0,3.0,,4.0,1.0,4.0,1.0,3.0,1.0,11.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,,4.0,0.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
92843802,Pakina,eredar,70.0,78551.0,49.0,65.0,66.0,67.0,59.0,51.0,62.0,65.0,56.0,65.0,33.0,,,,,,,220.0,252.0,229.0,192.0,175.0,173.0,116.0,26.0,126.0,26.0,12.0,,,,,,,108.0,163.0,151.0,129.0,103.0,88.0,72.0,17.0,71.0,17.0,4.0,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,
163741382,Lumînance,dalaran,18.0,4620.0,33.0,,,50.0,,64.0,100.0,50.0,80.0,83.0,50.0,,100.0,71.0,0.0,67.0,40.0,9.0,,,2.0,,11.0,3.0,4.0,5.0,6.0,2.0,,2.0,7.0,1.0,9.0,5.0,3.0,,,1.0,,7.0,3.0,2.0,4.0,5.0,1.0,,2.0,5.0,0.0,6.0,2.0,100.0,1.0,1.0,,,,,,,,,,,,,,,
115963331,Wokup,frostwolf,22.0,404.0,,,,0.0,,100.0,0.0,100.0,75.0,,,,,,0.0,,0.0,,,,1.0,,1.0,2.0,1.0,4.0,,,,,,1.0,,1.0,,,,0.0,,1.0,0.0,1.0,3.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
75425149,Athamon,dun-modr,24.0,4164.0,75.0,32.0,48.0,33.0,73.0,50.0,62.0,44.0,52.0,38.0,100.0,,0.0,,100.0,,0.0,8.0,19.0,21.0,12.0,22.0,2.0,29.0,16.0,29.0,29.0,1.0,,1.0,,1.0,,2.0,6.0,6.0,10.0,4.0,16.0,1.0,18.0,7.0,15.0,11.0,1.0,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,
149435726,Miaredslava,argent-dawn,28.0,732.0,,,,100.0,,100.0,0.0,0.0,0.0,0.0,,,50.0,,,67.0,,,,,1.0,,1.0,1.0,2.0,1.0,2.0,,,4.0,,,3.0,,,,,1.0,,1.0,0.0,0.0,0.0,0.0,,,2.0,,,2.0,,,,,,,,100.0,1.0,1.0,,,,,,,,,
237907218,Ирог,borean-tundra,15.0,6566.0,78.0,30.0,80.0,30.0,50.0,56.0,27.0,67.0,50.0,67.0,53.0,100.0,67.0,45.0,60.0,0.0,75.0,9.0,10.0,5.0,10.0,4.0,9.0,11.0,15.0,10.0,9.0,17.0,1.0,12.0,11.0,5.0,2.0,4.0,7.0,3.0,4.0,3.0,2.0,5.0,3.0,10.0,5.0,6.0,9.0,1.0,8.0,5.0,3.0,0.0,3.0,,,,100.0,2.0,2.0,,,,100.0,2.0,2.0,,,,,,
109090209,Sïgmûnd,stormscale,22.0,1132.0,100.0,,100.0,75.0,,100.0,80.0,50.0,100.0,75.0,50.0,,100.0,100.0,50.0,,0.0,1.0,,1.0,4.0,,4.0,5.0,2.0,2.0,4.0,2.0,,2.0,2.0,2.0,,2.0,1.0,,1.0,3.0,,4.0,4.0,1.0,2.0,3.0,1.0,,2.0,2.0,1.0,,0.0,,,,,,,,,,,,,,,,,,
142268577,Эльтаона,howling-fjord,50.0,1763.0,0.0,,,100.0,,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,,0.0,33.0,1.0,,,1.0,,2.0,1.0,1.0,2.0,2.0,,,1.0,2.0,,1.0,3.0,0.0,,,1.0,,2.0,1.0,1.0,2.0,2.0,,,1.0,2.0,,0.0,1.0,,,,,,,,,,,,,,,,,,
108029148,Spirine,ysondre,16.0,2617.0,0.0,100.0,50.0,50.0,,50.0,100.0,50.0,50.0,69.0,60.0,,71.0,100.0,100.0,0.0,100.0,2.0,3.0,2.0,4.0,,4.0,3.0,6.0,4.0,13.0,5.0,,14.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,,2.0,3.0,3.0,2.0,9.0,3.0,,10.0,1.0,1.0,0.0,2.0,,,,,,,0.0,1.0,0.0,,,,,,,,,
51285832,Громел,gordunni,54.0,123409.0,64.0,63.0,53.0,62.0,62.0,64.0,60.0,59.0,59.0,75.0,66.0,100.0,71.0,59.0,65.0,63.0,,186.0,316.0,279.0,242.0,225.0,233.0,259.0,129.0,268.0,153.0,88.0,5.0,35.0,41.0,23.0,35.0,,119.0,200.0,149.0,151.0,140.0,150.0,156.0,76.0,157.0,115.0,58.0,5.0,25.0,24.0,15.0,22.0,,0.0,1.0,0.0,100.0,6.0,6.0,,,,23.0,13.0,3.0,,,,100.0,1.0,1.0
