character.id,character.name,character.realm.slug,honor_level,honorable_kills,Twin Peaks win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Twin Peaks played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Twin Peaks won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Battle for Wintergrasp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Korrak's Revenge played,Arathi Basin Winter won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Comp Stomp played,Rated Eye of the Storm won,Ashran won,Arathi Basin Comp Stomp won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
192244793,Woopiedancer,kazzak,4.0,615.0,50.0,100.0,67.0,50.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,33.0,,,33.0,0.0,50.0,,,100.0,,,,3.0,,,3.0,1.0,2.0,,,1.0,,,,1.0,,,1.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
70787323,Taktik,arthas,19.0,8790.0,50.0,33.0,100.0,100.0,14.0,6.0,2.0,2.0,7.0,2.0,2.0,2.0,50.0,53.0,80.0,67.0,38.0,56.0,27.0,75.0,43.0,22.0,71.0,,20.0,15.0,5.0,9.0,8.0,9.0,15.0,12.0,7.0,9.0,7.0,,10.0,8.0,4.0,6.0,3.0,5.0,4.0,9.0,3.0,2.0,5.0,,,12.0,,8.0,,1.0,,60.0,100.0,,5.0,6.0,,3.0,6.0,,,,,,
77808030,Murdered,nemesis,8.0,1529.0,50.0,33.0,,,6.0,3.0,,,3.0,1.0,,,20.0,0.0,0.0,33.0,50.0,33.0,25.0,100.0,20.0,0.0,100.0,50.0,5.0,1.0,2.0,6.0,2.0,3.0,4.0,4.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
65573120,Janná,blackmoore,30.0,167.0,,,,,,,,,,,,,0.0,0.0,,,,0.0,25.0,,,,,,1.0,1.0,,,,1.0,4.0,,,,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
158311249,Odêns,antonidas,6.0,1318.0,0.0,67.0,33.0,100.0,4.0,3.0,3.0,1.0,0.0,2.0,1.0,1.0,,,0.0,,0.0,50.0,100.0,50.0,100.0,,100.0,100.0,,,2.0,,1.0,4.0,2.0,2.0,1.0,,1.0,1.0,,,0.0,,0.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,,50.0,,,2.0,,,1.0,,,,,,,
130967872,Xyllwan,malorne,19.0,3234.0,41.0,,0.0,,17.0,,2.0,,7.0,,0.0,,80.0,36.0,17.0,29.0,0.0,50.0,11.0,21.0,23.0,80.0,100.0,,10.0,11.0,18.0,7.0,4.0,8.0,9.0,14.0,13.0,5.0,1.0,,8.0,4.0,3.0,2.0,0.0,4.0,1.0,3.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,
166446798,Lûzya,ysera,7.0,67.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157856011,Flisah,ravencrest,6.0,848.0,100.0,,,,1.0,,,,1.0,,,,0.0,,,,50.0,33.0,,,100.0,,,,2.0,,,,2.0,3.0,,,1.0,,,,0.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
158660642,Syvòs,blackhand,17.0,469.0,,,0.0,0.0,,,1.0,2.0,,,0.0,0.0,100.0,,,,,50.0,50.0,33.0,,,0.0,0.0,1.0,,,,,2.0,2.0,3.0,,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,0.0,0.0,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,
174638492,Funnur,cthun,76.0,43066.0,48.0,29.0,43.0,62.0,29.0,14.0,21.0,16.0,14.0,4.0,9.0,10.0,38.0,25.0,43.0,41.0,42.0,23.0,47.0,54.0,40.0,62.0,77.0,53.0,47.0,8.0,14.0,32.0,26.0,44.0,30.0,24.0,40.0,8.0,13.0,19.0,18.0,2.0,6.0,13.0,11.0,10.0,14.0,13.0,16.0,5.0,10.0,10.0,40.0,44.0,5.0,9.0,2.0,4.0,,0.0,100.0,,2.0,35.0,,0.0,35.0,,,,,,
188499577,Drovakin,silvermoon,66.0,135073.0,55.0,200.0,82.0,64.0,205.0,3.0,11.0,11.0,113.0,6.0,9.0,7.0,55.0,56.0,61.0,63.0,57.0,55.0,64.0,57.0,53.0,56.0,54.0,22.0,429.0,397.0,381.0,348.0,334.0,270.0,45.0,189.0,58.0,34.0,13.0,9.0,235.0,221.0,232.0,219.0,191.0,149.0,29.0,107.0,31.0,19.0,7.0,2.0,56.0,,9.0,,5.0,,,33.0,100.0,,3.0,10.0,,1.0,10.0,,,,,,
178655036,Kaÿ,pozzo-delleternità,33.0,9794.0,56.0,75.0,67.0,56.0,32.0,12.0,15.0,9.0,18.0,9.0,10.0,5.0,55.0,56.0,33.0,74.0,33.0,40.0,48.0,75.0,63.0,48.0,50.0,62.0,20.0,18.0,21.0,23.0,6.0,10.0,21.0,20.0,19.0,21.0,2.0,8.0,11.0,10.0,7.0,17.0,2.0,4.0,10.0,15.0,12.0,10.0,1.0,5.0,57.0,9.0,7.0,11.0,4.0,1.0,,0.0,100.0,,1.0,2.0,,0.0,2.0,,,,20.0,5.0,1.0
162526762,Alexìs,kargath,43.0,2066.0,43.0,50.0,40.0,,7.0,2.0,5.0,,3.0,1.0,2.0,,33.0,100.0,100.0,0.0,0.0,0.0,33.0,0.0,100.0,67.0,100.0,0.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,,7.0,,0.0,,,,100.0,,,1.0,,,1.0,,,,,,
98559033,Amaliâ,frostmourne,7.0,7236.0,67.0,,,,21.0,,,,14.0,,,,50.0,45.0,61.0,32.0,38.0,40.0,59.0,48.0,47.0,57.0,,0.0,16.0,33.0,23.0,22.0,24.0,5.0,17.0,25.0,19.0,14.0,,1.0,8.0,15.0,14.0,7.0,9.0,2.0,10.0,12.0,9.0,8.0,,0.0,,,,,,,,,,,,,,,,,,,,,
114987462,Balradok,antonidas,9.0,6649.0,60.0,,,,5.0,,,,3.0,,,,53.0,47.0,36.0,46.0,35.0,60.0,53.0,38.0,60.0,33.0,,,19.0,15.0,11.0,24.0,17.0,20.0,17.0,16.0,10.0,21.0,,,10.0,7.0,4.0,11.0,6.0,12.0,9.0,6.0,6.0,7.0,,,,20.0,,5.0,,1.0,,,100.0,,,1.0,,,1.0,,,,,,
150754618,Ranma,amanthul,37.0,7696.0,33.0,,,100.0,6.0,,,1.0,2.0,,,1.0,78.0,57.0,54.0,67.0,38.0,46.0,,57.0,,,,33.0,27.0,40.0,39.0,39.0,21.0,13.0,,7.0,,,,3.0,21.0,23.0,21.0,26.0,8.0,6.0,,4.0,,,,1.0,,,,,,,,50.0,,,2.0,,,1.0,,,,,,,
155997950,Azarïel,drekthar,7.0,863.0,,,,,,,,,,,,,57.0,,,,,75.0,100.0,,,,33.0,,7.0,,,,,4.0,1.0,,,,3.0,,4.0,,,,,3.0,1.0,,,,1.0,,100.0,,2.0,,2.0,,,0.0,,,1.0,,,0.0,,,,,,,
151412028,Theîâ,aegwynn,8.0,4655.0,50.0,,67.0,50.0,2.0,,3.0,2.0,1.0,,2.0,1.0,100.0,100.0,,100.0,,25.0,75.0,0.0,38.0,0.0,33.0,50.0,3.0,2.0,,1.0,,4.0,4.0,2.0,8.0,1.0,3.0,2.0,3.0,2.0,,1.0,,1.0,3.0,0.0,3.0,0.0,1.0,1.0,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,
166635702,Symen,ysera,1.0,3116.0,0.0,,,,2.0,,,,0.0,,,,50.0,33.0,80.0,33.0,0.0,50.0,,50.0,,100.0,,,2.0,6.0,5.0,3.0,3.0,4.0,,4.0,,1.0,,,1.0,2.0,4.0,1.0,0.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
195735903,Stiffliff,silvermoon,4.0,341.0,0.0,0.0,100.0,100.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,,,,0.0,,,50.0,,100.0,,,0.0,,,,1.0,,,2.0,,1.0,,,1.0,,,,0.0,,,1.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
169008257,Aoran,ysera,37.0,3298.0,50.0,40.0,0.0,67.0,8.0,5.0,1.0,9.0,4.0,2.0,0.0,6.0,80.0,,,44.0,0.0,60.0,50.0,50.0,36.0,0.0,67.0,20.0,5.0,,,9.0,1.0,5.0,10.0,8.0,11.0,2.0,3.0,5.0,4.0,,,4.0,0.0,3.0,5.0,4.0,4.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
245336319,Адмиралфэй,gordunni,4.0,409.0,100.0,0.0,0.0,100.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,0.0,,,100.0,0.0,67.0,,,,1.0,,,1.0,,,1.0,1.0,3.0,,,,0.0,,,0.0,,,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
144213211,Anfagit,outland,6.0,1113.0,0.0,,50.0,0.0,2.0,,2.0,2.0,0.0,,1.0,0.0,50.0,,,67.0,,,0.0,0.0,67.0,,,100.0,2.0,,,3.0,,,1.0,1.0,3.0,,,5.0,1.0,,,2.0,,,0.0,0.0,2.0,,,5.0,,,,,,,,67.0,,,3.0,,,2.0,,,,,,,
192348527,Jintai,hyjal,11.0,2351.0,33.0,33.0,33.0,60.0,6.0,3.0,3.0,5.0,2.0,1.0,1.0,3.0,50.0,,,100.0,,60.0,100.0,33.0,60.0,,100.0,0.0,2.0,,,1.0,,5.0,2.0,3.0,5.0,,3.0,1.0,1.0,,,1.0,,3.0,2.0,1.0,3.0,,3.0,0.0,,,,,,,,70.0,,,10.0,,,7.0,,,,,,,
195078211,Ronby,aegwynn,20.0,4137.0,,0.0,,50.0,,2.0,,2.0,,0.0,,1.0,73.0,,,0.0,,71.0,,0.0,100.0,,70.0,,15.0,,,2.0,,14.0,,1.0,2.0,,10.0,,11.0,,,0.0,,10.0,,0.0,2.0,,7.0,,,,,,,,,38.0,,,16.0,,,6.0,,,,,,,
97051391,Alëisha,tarren-mill,11.0,16557.0,62.0,,,,16.0,,,,10.0,,,,46.0,69.0,66.0,66.0,52.0,48.0,,44.0,,,,,76.0,68.0,59.0,41.0,54.0,42.0,,9.0,,,,,35.0,47.0,39.0,27.0,28.0,20.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
91111097,Kenndra,malorne,170.0,38530.0,37.0,75.0,0.0,,49.0,4.0,1.0,,18.0,3.0,0.0,,54.0,30.0,36.0,35.0,47.0,54.0,33.0,42.0,29.0,11.0,67.0,,57.0,66.0,73.0,83.0,64.0,89.0,9.0,40.0,14.0,9.0,3.0,,31.0,20.0,26.0,29.0,30.0,48.0,3.0,17.0,4.0,1.0,2.0,,33.0,9.0,3.0,11.0,1.0,1.0,,,100.0,,,32.0,,,32.0,,,,,,
172275547,Thørkyn,hyjal,20.0,2411.0,0.0,,0.0,,3.0,,1.0,,0.0,,0.0,,80.0,25.0,100.0,67.0,0.0,80.0,33.0,,75.0,0.0,0.0,,5.0,4.0,1.0,3.0,3.0,5.0,3.0,,4.0,1.0,1.0,,4.0,1.0,1.0,2.0,0.0,4.0,1.0,,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
