character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Rated Eye of the Storm win_rate,Battle for Wintergrasp win_rate,Rated Eye of the Storm played,Battle for Wintergrasp played,Rated Eye of the Storm won,Battle for Wintergrasp won,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
246713187,Мейзис,gordunni,6.0,419.0,,,100.0,,100.0,,0.0,0.0,,,,,1.0,,2.0,,4.0,1.0,,,,,1.0,,2.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,
242805993,Вебкамфорель,deathguard,72.0,1988.0,30.0,0.0,33.0,0.0,0.0,50.0,100.0,0.0,,,10.0,2.0,3.0,1.0,2.0,8.0,2.0,1.0,,,3.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,,,60.0,,,50.0,,,10.0,,,2.0,,,6.0,,,1.0,,,,40.0,,10.0,,4.0,,,,,,,,,,,,,,,
246114645,Guldab,sylvanas,8.0,27.0,,,,,,,0.0,0.0,,,,,,,,,1.0,1.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174415872,Aurèlius,naxxramas,7.0,2674.0,100.0,100.0,100.0,50.0,100.0,67.0,40.0,83.0,50.0,50.0,1.0,8.0,3.0,2.0,2.0,3.0,5.0,6.0,6.0,2.0,1.0,8.0,3.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,0.0,,,40.0,,,2.0,,,5.0,,,0.0,,,2.0,,,,80.0,,5.0,,4.0,,,,,,,,,,,,,,,
211502277,Фардум,thermaplugg,12.0,544.0,100.0,,0.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,,0.0,,,,,,,,100.0,,,,,,1.0,,,,,,1.0,,,,,,,50.0,,2.0,,1.0,0.0,,,1.0,,,0.0,,,,,,,,
137938274,Скаллаг,gordunni,5.0,777.0,100.0,,50.0,100.0,50.0,,50.0,100.0,,,1.0,,2.0,3.0,4.0,,2.0,3.0,,,1.0,,1.0,3.0,2.0,,1.0,3.0,,,,,,,100.0,,,,,,1.0,,,,,,1.0,,,100.0,,1.0,,1.0,100.0,,,1.0,,,1.0,,,,,,,,
192769228,Zucalarucca,outland,9.0,14882.0,32.0,38.0,50.0,57.0,100.0,,50.0,100.0,100.0,,19.0,8.0,4.0,7.0,4.0,,2.0,1.0,1.0,,6.0,3.0,2.0,4.0,4.0,,1.0,1.0,1.0,,49.0,38.0,39.0,38.0,50.0,,45.0,56.0,75.0,61.0,32.0,,22.0,21.0,29.0,23.0,16.0,,,100.0,,1.0,,1.0,,,50.0,,,2.0,,,1.0,,,,,,
173649197,Vezamir,twisting-nether,10.0,675.0,0.0,100.0,,0.0,25.0,,0.0,0.0,50.0,,2.0,1.0,,1.0,4.0,,1.0,2.0,2.0,,0.0,1.0,,0.0,1.0,,0.0,0.0,1.0,,0.0,,,0.0,,,3.0,,,1.0,,,0.0,,,0.0,,,,33.0,,3.0,,1.0,,,100.0,,,1.0,,,1.0,,,,,,
91221822,Cemgiskan,illidan,41.0,3108.0,22.0,71.0,100.0,71.0,0.0,100.0,0.0,0.0,0.0,100.0,9.0,7.0,1.0,7.0,1.0,6.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,5.0,0.0,6.0,0.0,0.0,0.0,1.0,44.0,22.0,67.0,40.0,33.0,,18.0,9.0,3.0,5.0,9.0,,8.0,2.0,2.0,2.0,3.0,,,0.0,,2.0,,0.0,,,,,,,,,,,,,,,
104717668,Тесиняка,gordunni,19.0,106286.0,51.0,63.0,70.0,67.0,50.0,20.0,50.0,50.0,100.0,0.0,92.0,90.0,10.0,153.0,14.0,5.0,2.0,2.0,1.0,1.0,47.0,57.0,7.0,103.0,7.0,1.0,1.0,1.0,1.0,0.0,65.0,47.0,54.0,52.0,52.0,,278.0,260.0,220.0,217.0,235.0,,180.0,122.0,119.0,112.0,122.0,,,100.0,,2.0,,2.0,,,0.0,,,1.0,,,0.0,,,,,,
165296752,Дайпак,howling-fjord,90.0,4856.0,50.0,43.0,75.0,0.0,42.0,88.0,67.0,40.0,100.0,50.0,6.0,7.0,4.0,2.0,12.0,8.0,3.0,5.0,2.0,8.0,3.0,3.0,3.0,0.0,5.0,7.0,2.0,2.0,2.0,4.0,56.0,,,80.0,,,9.0,,,5.0,,,5.0,,,4.0,,,,43.0,,7.0,,3.0,,,,,,,,,,,,,,,
153315115,Vidmar,burning-legion,47.0,10157.0,100.0,68.0,57.0,76.0,68.0,,67.0,68.0,72.0,57.0,1.0,25.0,28.0,21.0,25.0,,18.0,25.0,18.0,7.0,1.0,17.0,16.0,16.0,17.0,,12.0,17.0,13.0,4.0,50.0,50.0,100.0,67.0,,64.0,2.0,10.0,2.0,21.0,,11.0,1.0,5.0,2.0,14.0,,7.0,,0.0,,1.0,,0.0,,100.0,,,1.0,,,1.0,,,,,,,
