profile.id,profile.name,profile.realm.slug,specialization.id,faction.type
113231638,Marlinp,ravencrest,66,ALLIANCE
210052866,Hayfire,kilrogg,66,ALLIANCE
191342278,Merinicus,hellfire,66,HORDE
200372215,Etienell,arathor,66,ALLIANCE
210021985,Goldanna,nagrand,66,ALLIANCE
244263151,Doomalke,hellfire,66,ALLIANCE
66806192,Clearlyfish,blackrock,66,HORDE
154220855,Eliasér,zuljin,66,HORDE
73150020,Elijahu,eredar,66,HORDE
153197999,Gordain,malfurion,66,ALLIANCE
193091808,Thaladriana,aegwynn,66,ALLIANCE
84952963,Ravihn,the-shatar,66,ALLIANCE
178520861,Lomu,silvermoon,66,ALLIANCE
105372671,Lazerlight,antonidas,66,ALLIANCE
114207216,Patch,ravencrest,66,ALLIANCE
143160103,Marqo,outland,66,ALLIANCE
195007244,Tarieswolle,silvermoon,66,ALLIANCE
133696445,Jetsetter,draenor,66,HORDE
210067060,Athoman,nagrand,66,ALLIANCE
156352303,Cardíak,eredar,66,HORDE
107850573,Sleazý,ragnaros,66,HORDE
167710613,Каэрвиль,azuregos,66,ALLIANCE
156067386,Boldaro,arathor,66,ALLIANCE
192599651,Aalmae,silvermoon,66,ALLIANCE
192197043,Axrey,silvermoon,66,ALLIANCE
197088645,Даренум,gordunni,66,ALLIANCE
79887137,Balor,frostwolf,66,ALLIANCE
180109619,Yaminosenshi,hellfire,66,ALLIANCE
161372542,Taichen,tarren-mill,66,HORDE
98593662,Squall,zuluhed,66,ALLIANCE
209745323,Sauron,runetotem,66,ALLIANCE
154405274,Landro,antonidas,66,ALLIANCE
203413733,Jøhanna,arathor,66,ALLIANCE
139763098,Martturi,silvermoon,66,ALLIANCE
158032400,Lightbaker,arathor,66,ALLIANCE
157513329,Snapitz,ravencrest,66,ALLIANCE
153823657,Paladindværg,ravencrest,66,ALLIANCE
184085136,Stompalot,silvermoon,66,ALLIANCE
99047084,Морфеу,gordunni,66,ALLIANCE
167995996,Avyur,blackmoore,66,ALLIANCE
176101460,Angeil,dun-modr,66,ALLIANCE
155107269,Holypea,drakthul,66,ALLIANCE
155513305,Chatthon,ysondre,66,HORDE
191374210,Lickmybubble,arathor,66,ALLIANCE
209977712,Tésh,nagrand,66,ALLIANCE
172378614,Ðarkz,twisting-nether,66,HORDE
185355899,Spicyshøck,outland,66,ALLIANCE
207875251,Sanction,kilrogg,66,ALLIANCE
73771904,Ðuvel,antonidas,66,ALLIANCE
169520925,Kleidid,silvermoon,66,HORDE
199216357,Wynell,arathor,66,ALLIANCE
162627001,Noelle,sargeras,66,HORDE
170099367,Kazo,darksorrow,66,HORDE
128837728,Zaos,aegwynn,66,ALLIANCE
121115669,Caseryss,arathor,66,HORDE
237886091,Hamsandwich,ghostlands,66,ALLIANCE
121914982,Lithmare,hyjal,66,ALLIANCE
198500373,Holysoly,arathor,66,ALLIANCE
202206009,Левкофейа,eversong,66,ALLIANCE
115528707,Syalthiel,draenor,66,HORDE
166450550,Arratius,blackmoore,66,ALLIANCE
195031258,Duriandyl,archimonde,66,ALLIANCE
176322030,Astarya,dun-modr,66,ALLIANCE
181902391,Salot,arathor,66,HORDE
210003373,Netherlight,runetotem,66,ALLIANCE
242084303,Мх,gordunni,66,ALLIANCE
208307745,Silverdawn,runetotem,66,ALLIANCE
245970113,Хелзеферс,gordunni,66,ALLIANCE
207861356,Yael,kilrogg,66,ALLIANCE
157412393,Superkilos,ravencrest,66,ALLIANCE
158531984,Rèvè,tarren-mill,66,HORDE
93259284,Terrycrews,shadowsong,66,ALLIANCE
245074253,Лайтревендж,gordunni,66,ALLIANCE
210015550,Ithildess,nagrand,66,HORDE
193329699,Schultheiss,aegwynn,66,ALLIANCE
125798151,Stgotthard,ragnaros,66,ALLIANCE
140480856,Blizobot,arathor,66,ALLIANCE
156999348,Ascèse,culte-de-la-rive-noire,66,ALLIANCE
139945419,Grancigula,kazzak,66,HORDE
123922980,Lolaadin,hellfire,66,ALLIANCE
209066038,Gonk,arathor,66,ALLIANCE
226178677,Idoc,sylvanas,66,ALLIANCE
168917304,Kuntá,tarren-mill,66,HORDE
196745652,Kendisen,wildhammer,66,ALLIANCE
121867275,Akáý,antonidas,66,ALLIANCE
150892050,Lèontas,silvermoon,66,ALLIANCE
111985644,Houdoor,ravencrest,66,ALLIANCE
149168674,Lozi,bloodhoof,66,ALLIANCE
198129998,Kajsen,silvermoon,66,HORDE
163483316,Favorstout,argent-dawn,66,ALLIANCE
175499498,Kiroo,neptulon,66,ALLIANCE
209626786,Aerleya,kilrogg,66,HORDE
82330804,Alesh,pozzo-delleternità,66,ALLIANCE
175000651,Biscu,outland,66,ALLIANCE
194457552,Pebsimax,silvermoon,66,ALLIANCE
243947935,Rzvcc,deathwing,66,ALLIANCE
96973406,Крэндли,blackscar,66,ALLIANCE
210056226,Dwellinger,nagrand,66,ALLIANCE
170270520,Rokcya,hyjal,66,ALLIANCE
195731446,Saltyarmpit,wildhammer,66,ALLIANCE
209749715,Энурез,gordunni,66,ALLIANCE
154421564,Sophiä,kirin-tor,66,ALLIANCE
157154012,Фэломэнор,soulflayer,66,HORDE
159267133,Yosefina,ravencrest,66,ALLIANCE
91289286,Holydîver,ravencrest,66,ALLIANCE
165225926,Афисто,galakrond,66,ALLIANCE
210012493,Mattius,nagrand,66,ALLIANCE
166548603,Firley,blackmoore,66,HORDE
193469290,Szigor,arathor,66,HORDE
165322926,Qwistarn,ragnaros,66,HORDE
118745969,Kassarus,aggramar,66,ALLIANCE
136676508,Tonínoo,dun-modr,66,ALLIANCE
110762455,Deenit,ravencrest,66,ALLIANCE
97428909,Kippine,tarren-mill,66,HORDE
170267257,Neb,shattered-hand,66,HORDE
247688319,Doomalke,hellfire,66,ALLIANCE
175810099,Paloushe,dalaran,66,ALLIANCE
130939540,Varresa,kazzak,66,HORDE
137146072,Knaison,blackrock,66,HORDE
98356338,Goldberryz,ravencrest,66,ALLIANCE
74086767,Fàlk,antonidas,66,ALLIANCE
91221822,Cemgiskan,illidan,66,HORDE
87699361,Tuganabo,grim-batol,66,ALLIANCE
175331111,Ксанакссвят,howling-fjord,66,HORDE
226283851,Doríáth,sylvanas,66,ALLIANCE
154051716,Gozdalski,burning-legion,66,HORDE
123770756,Tiralius,tarren-mill,66,HORDE
167291782,Sèrum,blackmoore,66,ALLIANCE
190314116,Истарм,soulflayer,66,HORDE
195032181,Mavlenain,hyjal,66,ALLIANCE
148944851,Kaielen,argent-dawn,66,ALLIANCE
243465245,Такано,blackscar,66,HORDE
194095957,Penetrus,silvermoon,66,ALLIANCE
158514024,Tankilicous,antonidas,66,ALLIANCE
117146148,Kardasi,ravencrest,66,ALLIANCE
