profile.id,profile.name,profile.realm.slug,specialization.id,faction.type
175221568,Sebpala,kazzak,66,HORDE
89592022,Kisassi,sargeras,66,HORDE
162892627,Тесей,howling-fjord,66,HORDE
193749388,Palrahz,archimonde,66,HORDE
113377211,Notjcdlz,ysondre,66,HORDE
130553238,Ephalistos,sargeras,66,HORDE
164846211,Holyrayén,blackrock,66,HORDE
187743513,Sinjastral,archimonde,66,HORDE
174406966,Nurofenis,hyjal,66,HORDE
172939920,Leemoon,hyjal,66,HORDE
162975147,Kridx,sargeras,66,HORDE
191746469,Blahblahdin,kazzak,66,HORDE
80806240,Irônbreaker,frostwolf,66,HORDE
131015073,Babanji,kazzak,66,HORDE
165037468,Diktrol,stormreaver,66,HORDE
162268025,Primaldeath,garona,66,ALLIANCE
151641942,Lóde,silvermoon,66,ALLIANCE
109700158,Neozayeah,tarren-mill,66,HORDE
89544148,Labuche,sargeras,66,ALLIANCE
107840220,Zieghh,sargeras,66,HORDE
141902628,Nicu,tarren-mill,66,HORDE
195586087,Agoora,kazzak,66,HORDE
122393095,Milambher,sargeras,66,HORDE
162758759,Понидоктор,howling-fjord,66,HORDE
140025936,Swagimir,hyjal,66,HORDE
157201986,Darkenlight,burning-legion,66,HORDE
176474438,Vìzzer,burning-legion,66,HORDE
63473937,Invi,ysondre,66,HORDE
102480546,Twicks,sargeras,66,HORDE
55773994,Skyyÿ,ysondre,66,HORDE
196039534,Aeshan,kazzak,66,HORDE
89788721,Käwotte,sargeras,66,HORDE
93933179,Imoros,malfurion,66,HORDE
162891251,Pericko,sanguino,66,HORDE
142577511,Jouren,lightbringer,66,HORDE
108096469,Byakuya,sargeras,66,HORDE
104844403,Khartes,sargeras,66,HORDE
173347369,Bacildaf,twisting-nether,66,HORDE
169972862,Markelon,kazzak,66,HORDE
175721864,Ondelia,hyjal,66,HORDE
134200391,Chuipàlà,sargeras,66,ALLIANCE
162942669,Nydin,sargeras,66,HORDE
161435980,Anlp,draenor,66,HORDE
163014075,Mîchkê,garona,66,HORDE
120192015,Zabarella,sargeras,66,HORDE
66547639,Elundrïl,nerzhul,66,HORDE
165349707,Purgé,kazzak,66,HORDE
104295256,Miyaia,les-clairvoyants,66,HORDE
128947723,Joâito,sargeras,66,HORDE
118890432,Candyykush,ysondre,66,HORDE
117319660,Zýlh,ysondre,66,HORDE
145191273,Парломис,howling-fjord,66,HORDE
125382264,Nlamlx,throkferoth,66,HORDE
174686263,Амантир,howling-fjord,66,HORDE
164140604,Grtsoghoot,tarren-mill,66,HORDE
