character.id,character.name,character.realm.slug,honor_level,honorable_kills,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Battle for Wintergrasp win_rate,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Battle for Wintergrasp played,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Silvershard Mines win_rate,Classic Warsong Gulch played,Silvershard Mines played,Classic Warsong Gulch won,Silvershard Mines won,Arathi Basin win_rate,Deepwind Gorge win_rate,Arathi Basin played,Deepwind Gorge played,Arathi Basin won,Deepwind Gorge won,Alterac Valley win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Rated Eye of the Storm win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Alterac Valley played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Rated Eye of the Storm played,Seething Shore played,Warsong Gulch played,Alterac Valley won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Rated Eye of the Storm won,Seething Shore won,Warsong Gulch won,Ashran win_rate,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Ashran played,Arathi Basin Winter played,Korrak's Revenge played,Ashran won,Arathi Basin Winter won,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
92071913,Graenor,chants-éternels,11.0,20747.0,28.0,55.0,50.0,,32.0,20.0,12.0,,9.0,11.0,6.0,,34.0,58.0,47.0,12.0,16.0,7.0,,100.0,,1.0,,1.0,57.0,45.0,42.0,54.0,60.0,35.0,,,100.0,75.0,40.0,31.0,41.0,30.0,20.0,,,1.0,43.0,18.0,13.0,22.0,18.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,
84929920,Annalee,the-shatar,6.0,2859.0,100.0,25.0,,,2.0,4.0,,,2.0,1.0,,,29.0,0.0,7.0,1.0,2.0,0.0,,67.0,,3.0,,2.0,61.0,23.0,50.0,50.0,50.0,75.0,,,0.0,18.0,13.0,16.0,10.0,8.0,4.0,,,1.0,11.0,3.0,8.0,5.0,4.0,3.0,,,0.0,100.0,,,2.0,,,2.0,,,,,,,,,,,
126784233,Boleewood,kaelthas,60.0,10302.0,58.0,38.0,33.0,44.0,24.0,26.0,6.0,9.0,14.0,10.0,2.0,4.0,,53.0,,17.0,,9.0,45.0,55.0,11.0,11.0,5.0,6.0,38.0,,19.0,,46.0,37.0,,43.0,38.0,32.0,,16.0,,37.0,19.0,,23.0,29.0,12.0,,3.0,,17.0,7.0,,10.0,11.0,36.0,,20.0,28.0,,5.0,10.0,,1.0,100.0,2.0,2.0,,,,,,
173384373,Vàllo,hyjal,8.0,201.0,,,100.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147403228,Trevolas,blackrock,4.0,1595.0,60.0,67.0,,50.0,5.0,3.0,,2.0,3.0,2.0,,1.0,,0.0,,1.0,,0.0,,,,,,,0.0,,50.0,,75.0,33.0,,50.0,100.0,2.0,,2.0,,4.0,3.0,,4.0,1.0,0.0,,1.0,,3.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,
182266402,Аманарис,soulflayer,150.0,7750.0,63.0,62.0,72.0,,19.0,21.0,18.0,,12.0,13.0,13.0,,56.0,33.0,18.0,15.0,10.0,5.0,0.0,,1.0,,0.0,,50.0,44.0,50.0,50.0,33.0,48.0,150.0,0.0,100.0,4.0,18.0,2.0,2.0,3.0,23.0,2.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,11.0,3.0,0.0,1.0,100.0,,,1.0,,,1.0,,,,,,,,,,,
102480546,Twicks,sargeras,26.0,8708.0,75.0,33.0,50.0,45.0,12.0,15.0,8.0,11.0,9.0,5.0,4.0,5.0,57.0,53.0,14.0,15.0,8.0,8.0,67.0,100.0,3.0,1.0,2.0,1.0,35.0,50.0,75.0,67.0,27.0,67.0,,133.0,100.0,20.0,16.0,8.0,3.0,11.0,9.0,,3.0,2.0,7.0,8.0,6.0,2.0,3.0,6.0,,4.0,2.0,,33.0,100.0,,3.0,1.0,,1.0,1.0,,,,,,,,,
160300425,Ironhoof,blackmoore,34.0,18943.0,49.0,60.0,58.0,,72.0,72.0,45.0,,35.0,43.0,26.0,,52.0,58.0,85.0,91.0,44.0,53.0,,,,,,,57.0,52.0,56.0,68.0,50.0,46.0,,200.0,100.0,14.0,67.0,61.0,62.0,24.0,71.0,,1.0,1.0,8.0,35.0,34.0,42.0,12.0,33.0,,2.0,1.0,,,,,,,,,,,,,,,,,,
108887280,Alamya,steamwheedle-cartel,21.0,1101.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,0.0,0.0,0.0,,,,,1.0,,1.0,1.0,5.0,,,,,1.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
97896265,Lâureline,ysondre,42.0,3129.0,54.0,,100.0,,13.0,,1.0,,7.0,,1.0,,52.0,0.0,27.0,1.0,14.0,0.0,,,,,,,67.0,57.0,33.0,75.0,40.0,80.0,,,,3.0,7.0,3.0,4.0,5.0,10.0,,,,2.0,4.0,1.0,3.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,
