character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Warsong Gulch played,Korrak's Revenge played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Warsong Gulch won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
170053575,Inprogress,tarren-mill,11.0,5153.0,31.0,55.0,76.0,31.0,19.0,23.0,30.0,47.0,46.0,54.0,0.0,,100.0,,,100.0,61.0,20.0,21.0,13.0,16.0,26.0,10.0,17.0,13.0,13.0,3.0,,1.0,,,1.0,19.0,11.0,16.0,4.0,3.0,6.0,3.0,8.0,6.0,7.0,0.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
168576422,Aboyaad,tarren-mill,5.0,107.0,,,,,,100.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196324939,Mushizz,kazzak,3.0,445.0,0.0,,,,,100.0,0.0,,,,,,,50.0,,0.0,1.0,,,,,1.0,1.0,,,,,,,2.0,,1.0,0.0,,,,,1.0,0.0,,,,,,,1.0,,0.0,,100.0,,,,,1.0,,,,,1.0,,,,,,,,,
137029998,Aomarh,draenor,64.0,22041.0,43.0,69.0,55.0,62.0,65.0,68.0,71.0,64.0,57.0,54.0,60.0,,,,,,47.0,35.0,51.0,37.0,51.0,22.0,24.0,11.0,21.0,13.0,5.0,,,,,,20.0,24.0,28.0,23.0,33.0,15.0,17.0,7.0,12.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
164726442,Ilean,the-shatar,27.0,1690.0,50.0,,,100.0,,100.0,60.0,,0.0,,,100.0,50.0,100.0,,80.0,2.0,,,2.0,,2.0,5.0,,2.0,,,2.0,4.0,4.0,,5.0,1.0,,,2.0,,2.0,3.0,,0.0,,,2.0,2.0,4.0,,4.0,,0.0,,,,,3.0,,,,,0.0,,,,,,,,,
106872079,Strack,twilights-hammer,6.0,15777.0,33.0,48.0,44.0,53.0,45.0,24.0,51.0,60.0,45.0,27.0,22.0,0.0,50.0,67.0,,,93.0,44.0,32.0,30.0,38.0,85.0,51.0,5.0,29.0,11.0,9.0,1.0,2.0,3.0,,,31.0,21.0,14.0,16.0,17.0,20.0,26.0,3.0,13.0,3.0,2.0,0.0,1.0,2.0,,,,0.0,100.0,,88.0,,3.0,1.0,,8.0,,0.0,1.0,,7.0,,,,,,
175857019,Tindertank,twisting-nether,21.0,242.0,,,,,,,0.0,0.0,100.0,100.0,,75.0,,,,50.0,,,,,,,1.0,1.0,1.0,1.0,,4.0,,,,2.0,,,,,,,0.0,0.0,1.0,1.0,,3.0,,,,1.0,,,,0.0,,,,,1.0,,,,,0.0,,,,,,,
76947846,Kynval,nemesis,10.0,7648.0,40.0,67.0,43.0,45.0,45.0,33.0,59.0,46.0,39.0,27.0,,100.0,0.0,,,,20.0,33.0,21.0,22.0,20.0,12.0,22.0,13.0,18.0,11.0,,1.0,1.0,,,,8.0,22.0,9.0,10.0,9.0,4.0,13.0,6.0,7.0,3.0,,1.0,0.0,,,,,,,100.0,0.0,,,,1.0,2.0,,,,1.0,0.0,,,,,,
93539639,Emergency,aggra-português,7.0,2876.0,58.0,25.0,67.0,25.0,50.0,75.0,57.0,67.0,67.0,100.0,,0.0,0.0,33.0,,0.0,19.0,4.0,3.0,4.0,4.0,4.0,7.0,3.0,6.0,3.0,,1.0,1.0,3.0,,1.0,11.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,,0.0,0.0,1.0,,0.0,,100.0,,50.0,,,4.0,,4.0,,,4.0,,2.0,,,,,,,
128947723,Joâito,sargeras,15.0,1029.0,0.0,,,,,,,100.0,50.0,0.0,,50.0,67.0,100.0,100.0,0.0,2.0,,,,,,,2.0,2.0,2.0,,2.0,3.0,1.0,2.0,1.0,0.0,,,,,,,2.0,1.0,0.0,,1.0,2.0,1.0,2.0,0.0,,,,33.0,,,,,3.0,,,,,1.0,,,,,,,
83655276,Malistra,stormscale,35.0,8063.0,33.0,55.0,59.0,64.0,61.0,9.0,57.0,40.0,64.0,76.0,55.0,,,,,,21.0,31.0,17.0,28.0,33.0,11.0,14.0,15.0,11.0,17.0,11.0,,,,,,7.0,17.0,10.0,18.0,20.0,1.0,8.0,6.0,7.0,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
113885857,Vìénto,twisting-nether,6.0,691.0,33.0,0.0,0.0,,,0.0,0.0,,100.0,,,,,,,,3.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177378448,Lightcon,burning-legion,29.0,605.0,100.0,,,100.0,,0.0,100.0,,,,,,50.0,,,100.0,2.0,,,1.0,,1.0,1.0,,,,,,2.0,,,3.0,2.0,,,1.0,,0.0,1.0,,,,,,1.0,,,3.0,,67.0,100.0,100.0,,,3.0,2.0,1.0,,,2.0,2.0,1.0,,,,,,,
164171574,Skylla,kazzak,13.0,760.0,,,,,,,0.0,33.0,67.0,60.0,,0.0,100.0,,,33.0,,,,,,,2.0,6.0,3.0,5.0,,3.0,3.0,,,3.0,,,,,,,0.0,2.0,2.0,3.0,,0.0,3.0,,,1.0,50.0,,,50.0,,4.0,,,6.0,,2.0,,,3.0,,,,,,,
134684097,Ramrot,kazzak,37.0,2913.0,75.0,33.0,0.0,67.0,,0.0,100.0,50.0,100.0,100.0,,100.0,0.0,,,,4.0,3.0,1.0,3.0,,3.0,1.0,2.0,2.0,3.0,,2.0,1.0,,,,3.0,1.0,0.0,2.0,,0.0,1.0,1.0,2.0,3.0,,2.0,0.0,,,,,100.0,,,,,1.0,,,,,1.0,,,,,,,,,
74861863,Melax,drakthul,76.0,22586.0,57.0,66.0,45.0,58.0,52.0,35.0,69.0,73.0,66.0,72.0,62.0,50.0,100.0,86.0,,80.0,23.0,76.0,31.0,43.0,27.0,17.0,71.0,64.0,70.0,75.0,40.0,8.0,1.0,7.0,,5.0,13.0,50.0,14.0,25.0,14.0,6.0,49.0,47.0,46.0,54.0,25.0,4.0,1.0,6.0,,4.0,,75.0,100.0,100.0,,,4.0,1.0,8.0,,,3.0,1.0,8.0,,,,,,,
175753198,Railadin,ragnaros,13.0,3070.0,20.0,,,80.0,,30.0,67.0,43.0,0.0,100.0,,50.0,25.0,50.0,,20.0,5.0,,,5.0,,10.0,3.0,7.0,1.0,3.0,,4.0,4.0,6.0,,5.0,1.0,,,4.0,,3.0,2.0,3.0,0.0,3.0,,2.0,1.0,3.0,,1.0,,86.0,,86.0,,,7.0,,7.0,,,6.0,,6.0,,,,,,,
196173190,Edomae,archimonde,3.0,339.0,50.0,,,50.0,,,,50.0,,50.0,,100.0,0.0,,,0.0,2.0,,,2.0,,,,2.0,,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
96498538,Ímbaa,ragnaros,89.0,3133.0,35.0,38.0,70.0,64.0,20.0,80.0,43.0,,75.0,36.0,,,,0.0,,,20.0,8.0,10.0,11.0,5.0,10.0,7.0,,4.0,11.0,,,,1.0,,,7.0,3.0,7.0,7.0,1.0,8.0,3.0,,3.0,4.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
165106309,Dedâs,tarren-mill,7.0,2100.0,33.0,,,0.0,,100.0,0.0,100.0,50.0,33.0,,0.0,33.0,67.0,,,3.0,,,2.0,,1.0,1.0,1.0,4.0,3.0,,1.0,3.0,3.0,,,1.0,,,0.0,,1.0,0.0,1.0,2.0,1.0,,0.0,1.0,2.0,,,,75.0,100.0,100.0,,,4.0,1.0,2.0,,,3.0,1.0,2.0,,,,,,,
153222397,Avioro,malganis,4.0,3061.0,38.0,67.0,71.0,29.0,0.0,0.0,50.0,0.0,25.0,25.0,38.0,,0.0,100.0,,,21.0,6.0,7.0,7.0,1.0,4.0,10.0,1.0,8.0,4.0,8.0,,1.0,1.0,,,8.0,4.0,5.0,2.0,0.0,0.0,5.0,0.0,2.0,1.0,3.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
145763524,Böördii,bloodscalp,1.0,5544.0,44.0,62.0,62.0,71.0,67.0,43.0,57.0,,80.0,,,,,,,,27.0,26.0,13.0,14.0,18.0,23.0,21.0,,10.0,,,,,,,,12.0,16.0,8.0,10.0,12.0,10.0,12.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193962498,Zarothian,silvermoon,9.0,667.0,100.0,,,100.0,,0.0,,,0.0,,,0.0,,,,0.0,1.0,,,2.0,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,2.0,,0.0,,,0.0,,,0.0,,,,0.0,,,,100.0,,,,,1.0,,,,,1.0,,,,,,,
111554269,Bretony,twisting-nether,17.0,6371.0,40.0,71.0,33.0,57.0,25.0,25.0,43.0,67.0,11.0,33.0,40.0,57.0,14.0,0.0,,60.0,10.0,17.0,6.0,14.0,4.0,12.0,7.0,12.0,9.0,18.0,10.0,7.0,7.0,2.0,,5.0,4.0,12.0,2.0,8.0,1.0,3.0,3.0,8.0,1.0,6.0,4.0,4.0,1.0,0.0,,3.0,0.0,40.0,,0.0,,1.0,5.0,,2.0,,0.0,2.0,,0.0,,,,,,,
