character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Southshore vs. Tarren Mill win_rate,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Southshore vs. Tarren Mill played,Arathi Basin Winter played,Cooking: Impossible played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Southshore vs. Tarren Mill won,Arathi Basin Winter won,Cooking: Impossible won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won
242197712,Билликид,deathguard,9.0,812.0,,,,50.0,,100.0,0.0,50.0,100.0,100.0,,50.0,,,,100.0,,0.0,0.0,,0.0,,,,,2.0,,1.0,1.0,2.0,2.0,1.0,,2.0,,,,1.0,,1.0,2.0,,1.0,,,,,1.0,,1.0,0.0,1.0,2.0,1.0,,1.0,,,,1.0,,0.0,0.0,,0.0,,,,
226400871,Zaxonia,sylvanas,41.0,6178.0,53.0,83.0,100.0,0.0,,67.0,67.0,33.0,50.0,57.0,100.0,15.0,,0.0,,0.0,50.0,75.0,,,25.0,100.0,15.0,6.0,1.0,2.0,,6.0,3.0,3.0,4.0,7.0,2.0,20.0,,1.0,,2.0,4.0,4.0,,,16.0,1.0,8.0,5.0,1.0,0.0,,4.0,2.0,1.0,2.0,4.0,2.0,3.0,,0.0,,0.0,2.0,3.0,,,4.0,1.0,,,
161816034,Dramoth,turalyon,1.0,194.0,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,
75212721,Beliskner,kul-tiras,2.0,562.0,0.0,100.0,100.0,,,100.0,100.0,,100.0,,100.0,,,,,100.0,0.0,,,,,,1.0,3.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,,1.0,1.0,,,,,,0.0,3.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,,1.0,0.0,,,,,,,,
108934005,Motzok,silvermoon,72.0,19628.0,67.0,55.0,35.0,43.0,56.0,71.0,46.0,62.0,64.0,33.0,67.0,,,,,,,,,,,,36.0,44.0,49.0,23.0,16.0,7.0,13.0,21.0,11.0,18.0,12.0,,,,,,,,,,,,24.0,24.0,17.0,10.0,9.0,5.0,6.0,13.0,7.0,6.0,8.0,,,,,,,,,,,,,,
197328804,Craptank,silvermoon,2.0,283.0,,,,,,,,,,100.0,,,,,,0.0,50.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,0.0,1.0,,,,,,,,
71693041,Buragon,antonidas,1.0,97.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,
62132929,Flippala,azuremyst,1.0,772.0,0.0,33.0,67.0,25.0,,,50.0,50.0,,14.0,50.0,,,,,100.0,,,,,,,2.0,3.0,3.0,4.0,,,2.0,2.0,,7.0,2.0,,,,,1.0,,,,,,,0.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,
107615908,Eowinika,ravencrest,39.0,6006.0,67.0,50.0,53.0,61.0,,80.0,61.0,50.0,46.0,50.0,64.0,,,,,54.0,0.0,,100.0,,,100.0,6.0,18.0,15.0,23.0,,5.0,18.0,20.0,13.0,16.0,22.0,,,,,13.0,1.0,,1.0,,,2.0,4.0,9.0,8.0,14.0,,4.0,11.0,10.0,6.0,8.0,14.0,,,,,7.0,0.0,,1.0,,,2.0,,,
118012007,Heled,blackmoore,10.0,6471.0,36.0,46.0,43.0,50.0,62.0,25.0,42.0,100.0,48.0,40.0,,,,50.0,,0.0,71.0,60.0,0.0,100.0,100.0,67.0,28.0,13.0,14.0,16.0,13.0,12.0,12.0,1.0,21.0,5.0,,,,2.0,,1.0,7.0,5.0,1.0,22.0,1.0,3.0,10.0,6.0,6.0,8.0,8.0,3.0,5.0,1.0,10.0,2.0,,,,1.0,,0.0,5.0,3.0,0.0,22.0,1.0,2.0,,,
42629879,Rotkiv,dun-modr,1.0,592.0,,40.0,40.0,,,100.0,,11.0,,100.0,,,,,,,,,,,,,,5.0,5.0,,,1.0,,9.0,,1.0,,,,,,,,,,,,,,2.0,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
242363131,Джиммиджи,gordunni,155.0,11779.0,40.0,20.0,33.0,47.0,50.0,17.0,60.0,8.0,67.0,47.0,100.0,,,,,50.0,50.0,0.0,0.0,100.0,100.0,67.0,5.0,10.0,6.0,15.0,6.0,6.0,5.0,12.0,6.0,17.0,1.0,,,,,6.0,2.0,1.0,3.0,8.0,1.0,3.0,2.0,2.0,2.0,7.0,3.0,1.0,3.0,1.0,4.0,8.0,1.0,,,,,3.0,1.0,0.0,0.0,8.0,1.0,2.0,,,
117806992,Bigpullaoe,ravencrest,12.0,415.0,100.0,,,,,100.0,0.0,,100.0,100.0,,50.0,,,,,,50.0,0.0,,,,1.0,,,,,1.0,1.0,,2.0,1.0,,2.0,,,,,,2.0,1.0,,,,1.0,,,,,1.0,0.0,,2.0,1.0,,1.0,,,,,,1.0,0.0,,,,,,
189513892,Darklink,frostmane,27.0,21493.0,48.0,50.0,48.0,42.0,57.0,64.0,40.0,42.0,40.0,60.0,0.0,40.0,,25.0,,77.0,80.0,82.0,83.0,,,43.0,29.0,30.0,66.0,50.0,44.0,39.0,10.0,19.0,48.0,30.0,3.0,10.0,,4.0,,13.0,5.0,11.0,6.0,,,7.0,14.0,15.0,32.0,21.0,25.0,25.0,4.0,8.0,19.0,18.0,0.0,4.0,,1.0,,10.0,4.0,9.0,5.0,,,3.0,500.0,4.0,20.0
83696336,Palast,nemesis,5.0,290.0,,,0.0,,,,50.0,0.0,0.0,100.0,,,,,,,100.0,,,,,0.0,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,0.0,,,,1.0,0.0,0.0,1.0,,,,,,,1.0,,,,,0.0,,,
245226697,Kazenlshka,the-maelstrom,10.0,421.0,,,,,,100.0,,,0.0,100.0,,,,,,67.0,,100.0,,,,50.0,,,,,,1.0,,,1.0,1.0,,,,,,3.0,,1.0,,,,2.0,,,,,,1.0,,,0.0,1.0,,,,,,2.0,,1.0,,,,1.0,,,
195434461,Donagger,silvermoon,3.0,178.0,,,,100.0,,,,,,100.0,,,,,,0.0,,0.0,,,,100.0,,,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,0.0,,0.0,,,,1.0,,,
