character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Rated Eye of the Storm played,Ashran played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Comp Stomp won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
172088280,Polyhaladin,kazzak,28.0,697.0,0.0,,,,,0.0,,0.0,50.0,,,0.0,100.0,100.0,50.0,100.0,1.0,,,,,2.0,,1.0,2.0,,,2.0,1.0,1.0,2.0,1.0,0.0,,,,,0.0,,0.0,1.0,,,0.0,1.0,1.0,1.0,1.0,0.0,50.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
162806837,Sorros,chants-éternels,131.0,116.0,,,,,,,,0.0,,,,100.0,100.0,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,0.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
171630364,Altaybey,silvermoon,6.0,1775.0,50.0,,,0.0,,,0.0,0.0,50.0,100.0,,0.0,,0.0,,33.0,2.0,,,1.0,,,1.0,1.0,2.0,1.0,,1.0,,2.0,,6.0,1.0,,,0.0,,,0.0,0.0,1.0,1.0,,0.0,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,
24710459,Benihim,garona,13.0,9283.0,82.0,78.0,59.0,60.0,67.0,74.0,,,50.0,,,,,,,,11.0,23.0,54.0,20.0,30.0,19.0,,,2.0,,,,,,,,9.0,18.0,32.0,12.0,20.0,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164710596,Tungdiel,kargath,32.0,103028.0,72.0,43.0,47.0,46.0,53.0,55.0,44.0,36.0,51.0,41.0,50.0,,0.0,,,0.0,178.0,421.0,356.0,245.0,218.0,153.0,91.0,83.0,113.0,105.0,50.0,,1.0,,,1.0,128.0,179.0,168.0,112.0,115.0,84.0,40.0,30.0,58.0,43.0,25.0,,0.0,,,0.0,,,,,,,50.0,2.0,1.0,,40.0,,5.0,,2.0,,,,,,
157038729,Torukmakto,twisting-nether,24.0,434.0,,,,,,,100.0,100.0,100.0,0.0,,0.0,100.0,100.0,100.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
149997292,Korxi,aegwynn,24.0,23263.0,41.0,58.0,62.0,57.0,62.0,48.0,54.0,33.0,77.0,14.0,73.0,67.0,50.0,,,50.0,93.0,83.0,66.0,60.0,65.0,27.0,13.0,12.0,13.0,14.0,11.0,3.0,2.0,,,2.0,38.0,48.0,41.0,34.0,40.0,13.0,7.0,4.0,10.0,2.0,8.0,2.0,1.0,,,1.0,,33.0,,3.0,,1.0,,,,,,,,,,,,,,,
150489619,Bänkerjens,aegwynn,43.0,2009.0,0.0,33.0,60.0,57.0,100.0,,25.0,67.0,50.0,100.0,25.0,,,,,0.0,1.0,3.0,5.0,7.0,3.0,,4.0,12.0,4.0,1.0,4.0,,,,,1.0,0.0,1.0,3.0,4.0,3.0,,1.0,8.0,2.0,1.0,1.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
154690817,Healisa,hyjal,23.0,381.0,,,,,,100.0,,,100.0,,,0.0,,,0.0,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,0.0,,,0.0,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,
154761921,Farhash,ravencrest,22.0,429.0,,,,,,,100.0,100.0,100.0,67.0,,,0.0,0.0,,50.0,,,,,,,1.0,1.0,2.0,3.0,,,1.0,1.0,,2.0,,,,,,,1.0,1.0,2.0,2.0,,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
