character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Alterac Valley won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Rated Eye of the Storm win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Rated Eye of the Storm played,Korrak's Revenge played,Deepwind Gorge played,Classic Warsong Gulch won,Rated Eye of the Storm won,Korrak's Revenge won,Deepwind Gorge won,Eye of the Storm win_rate,Isle of Conquest win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Eye of the Storm played,Isle of Conquest played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Eye of the Storm won,Isle of Conquest won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Classic Arathi Basin win_rate,Classic Arathi Basin played,Classic Arathi Basin won,Strand of the Ancients win_rate,Strand of the Ancients played,Strand of the Ancients won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won
161940989,Ramegrag,dun-modr,68.0,28829.0,41.0,72.0,69.0,46.0,74.0,53.0,62.0,70.0,72.0,30.0,37.0,60.0,59.0,54.0,93.0,17.0,48.0,47.0,54.0,33.0,15.0,43.0,41.0,25.0,69.0,9.0,30.0,33.0,39.0,10.0,33.0,75.0,29.0,67.0,6.0,12.0,7.0,57.0,2.0,9.0,2.0,38.0,72.0,40.0,0.0,25.0,,47.0,30.0,1.0,4.0,,34.0,12.0,0.0,1.0,,100.0,1.0,1.0,,,,,,,,,
83655276,Malistra,stormscale,35.0,8063.0,33.0,57.0,40.0,64.0,76.0,,,,,,21.0,14.0,15.0,11.0,17.0,,,,,,7.0,8.0,6.0,7.0,13.0,,,,,,55.0,,,,31.0,,,,17.0,,,,64.0,9.0,55.0,,,28.0,11.0,11.0,,,18.0,1.0,6.0,,,59.0,17.0,10.0,61.0,33.0,20.0,,,,,,
108755226,Artizél,dentarg,25.0,9910.0,48.0,50.0,83.0,57.0,71.0,,,,0.0,,40.0,2.0,6.0,7.0,7.0,,,,2.0,,19.0,1.0,5.0,4.0,5.0,,,,0.0,,54.0,,,,35.0,,,,19.0,,,,55.0,50.0,67.0,,,29.0,18.0,3.0,,,16.0,9.0,2.0,,,60.0,35.0,21.0,57.0,23.0,13.0,,,,,,
68418629,Waxpayne,ravencrest,53.0,67109.0,57.0,74.0,68.0,69.0,65.0,33.0,67.0,50.0,40.0,100.0,310.0,92.0,62.0,163.0,46.0,3.0,6.0,8.0,5.0,2.0,177.0,68.0,42.0,112.0,30.0,1.0,4.0,4.0,2.0,2.0,64.0,,,71.0,240.0,,,14.0,154.0,,,10.0,51.0,50.0,,100.0,,178.0,42.0,,1.0,,91.0,21.0,,1.0,,57.0,223.0,128.0,54.0,196.0,106.0,0.0,,1.0,,0.0,
176360167,Ghørze,archimonde,49.0,20221.0,38.0,44.0,39.0,66.0,54.0,0.0,25.0,,100.0,,13.0,36.0,23.0,35.0,35.0,1.0,4.0,,1.0,,5.0,16.0,9.0,23.0,19.0,0.0,1.0,,1.0,,61.0,,,50.0,41.0,,,2.0,25.0,,,1.0,48.0,30.0,46.0,,,31.0,10.0,26.0,,,15.0,3.0,12.0,,,26.0,23.0,6.0,50.0,26.0,13.0,,,,,,
147812300,Runeman,nefarian,39.0,12588.0,58.0,58.0,50.0,71.0,56.0,50.0,43.0,55.0,52.0,50.0,31.0,19.0,16.0,14.0,27.0,4.0,28.0,22.0,21.0,24.0,18.0,11.0,8.0,10.0,15.0,2.0,12.0,12.0,11.0,12.0,,,,53.0,,,,19.0,,,,10.0,56.0,72.0,,38.0,100.0,18.0,29.0,,8.0,3.0,10.0,21.0,,3.0,3.0,,,,,,,,,,,,
153997003,Тывообщеочем,gordunni,222.0,13012.0,55.0,31.0,48.0,50.0,44.0,17.0,75.0,14.0,33.0,29.0,11.0,26.0,29.0,24.0,25.0,6.0,4.0,7.0,6.0,7.0,6.0,8.0,14.0,12.0,11.0,1.0,3.0,1.0,2.0,2.0,63.0,,25.0,75.0,19.0,,4.0,4.0,12.0,,1.0,3.0,47.0,58.0,45.0,100.0,,19.0,12.0,29.0,2.0,,9.0,7.0,13.0,2.0,,11.0,18.0,2.0,46.0,13.0,6.0,,,,,,
161350120,Guldmormor,ragnaros,9.0,1218.0,,40.0,40.0,33.0,100.0,,40.0,33.0,25.0,50.0,,5.0,5.0,3.0,3.0,,5.0,6.0,8.0,2.0,,2.0,2.0,1.0,3.0,,2.0,2.0,2.0,1.0,,50.0,,25.0,,2.0,,4.0,,1.0,,1.0,,67.0,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,
130474977,Retardadin,tarren-mill,5.0,579.0,100.0,,,100.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,100.0,,,,1.0,,,,1.0,,,,,33.0,100.0,,,,6.0,1.0,,,,2.0,1.0,,,,,,0.0,1.0,0.0,,,,,,
90271909,Pivette,dalaran,204.0,205785.0,55.0,47.0,42.0,43.0,50.0,25.0,51.0,55.0,32.0,60.0,314.0,419.0,476.0,425.0,445.0,20.0,43.0,33.0,28.0,42.0,173.0,196.0,202.0,182.0,224.0,5.0,22.0,18.0,9.0,25.0,51.0,900.0,80.0,56.0,684.0,9.0,5.0,16.0,352.0,81.0,4.0,9.0,45.0,60.0,44.0,33.0,100.0,355.0,151.0,178.0,3.0,23.0,161.0,91.0,78.0,1.0,23.0,50.0,532.0,264.0,48.0,405.0,195.0,,,,,,
