Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Fogweaver Gauntlets,Bloodoath Signet,Ritualist's Treasured Ring,Macabre Sheet Music,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Supercollider,Acidslough Bulwark,196803565,,Renowned Guild Tabard
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Shadowghast Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Mantle of Manifest Sins,Axe of the Deadgrove,Builwark of the Stone Legion,195952038,,Court of Harvesters Tabard
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Guilewind Stone Talons,Ritual Commander's Ring,Ritual Bone Band,Decanter of Anima-Charged Winds,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,165359166,,Renowned Guild Tabard
Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Gormshell Greaves,Valinor's Ground Pounders,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Twisted Witherroot Band,Darkmoon Deck: Indomitable,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,98559033,,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Fleshfused Crushers,Arachnid Cipher Ring,Death God's Signet,Pulsating Stoneheart,Anima Field Emitter,Drape of Twisted Loyalties,Engorged Worm Smasher,Barricade of the Endless Empire,111294492,Tailored Officer's Shirt,Army of the Light Tabard
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Death God's Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Shroud of the Penitent,Sophisticated Bonecracker,Barricade of the Endless Empire,163875207,,Ironforge Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Selfless Collector's Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Ascended Gladius of Glory,Sinful Gladiator's Guard,86774347,,Tabard of the Ascended
Plague Handler's Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Selfless Collector's Warboots,Thunderous Echo Vambraces,Hardened Castle Crushers,Band of the Risen Bonelord,Ritualist's Treasured Ring,Spare Meat Hook,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,182102712,,
Sinful Gladiator's Plate Helm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Plated Leggings of Ruination,Dynamo Doomstompers,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Anima Field Emitter,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Sinful Gladiator's Swordbreaker,Sinful Gladiator's Redoubt,194661116,,Tabard of the Zandalari
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of the Afterlife,Stoic Guardsman's Belt,Frostplate Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Hyperlight Band,Slimy Consumptive Organ,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,118913040,,Tabard of the Explorer
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Binding of Warped Desires,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Ascended Gladius of Glory,Barricade of the Endless Empire,124063574,Wraps of the Blood-Soaked Brawler,
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Fallen Templar's Gauntlets,Ritualist's Treasured Ring,Entwined Gorger Tendril,Blood-Spattered Scale,Pulsating Stoneheart,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,197560836,,Guild Tabard
Wing Commander's Helmet,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Bargast's Leash,Sinful Gladiator's Drape,Gorestained Cleaver,Sinful Gladiator's Redoubt,133635979,Gorestained Tunic,
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Gluttonous Spike,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,176236072,Artisan Officer's Shirt,Renowned Guild Tabard
Shadowghast Helm,Muckformed Chain Choker,Sinful Gladiator's Plate Shoulders,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Hellhound Cuffs,Fleshfused Crushers,Band of the Risen Bonelord,Ritual Bone Band,Blood-Spattered Scale,Stone Legion Heraldry,Drape of Twisted Loyalties,Engorged Worm Smasher,Sinful Gladiator's Guard,112913465,Selis' Silk Shirt,Tabard of the 7th Legion
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Slimy Consumptive Organ,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,167643865,,Guild Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Death God's Signet,Darkmoon Deck: Indomitable,Anima Field Emitter,Mantle of Manifest Sins,Sophisticated Bonecracker,Encrusted Canopic Lid,193813673,,Tabard of the Explorer
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,134200391,,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,154436128,,Tabard of the Ascended
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Signet of the False Accuser,Bloodoath Signet,Blood-Spattered Scale,Overwhelming Power Crystal,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,159032241,,
Plague Handler's Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Entwined Gorger Tendril,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Phial of Putrefaction,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,165268993,,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Signet of the False Accuser,Gluttonous Spike,Decanter of Anima-Charged Winds,Cloak of Enveloping Manifestations,Sinsmasher,Barricade of the Endless Empire,192868960,Artisan Officer's Shirt,Renowned Guild Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,Barricade of the Endless Empire,195731446,,Tabard of the Ascended
Shadowghast Helm,Azure-Venom Choker,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Binding of Warped Desires,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Bloodoath Signet,Ritualist's Treasured Ring,Sanguine Vintage,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,111467178,Yellow Lumberjack Shirt,Blood Knight Tabard
Darkfrost Helmet,Charm of Eternal Winter,Vile Butcher's Pauldrons,Selfless Collector's Chestplate,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Hardened Castle Crushers,Death God's Signet,Shadowghast Ring,Pulsating Stoneheart,Blood-Spattered Scale,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,185287189,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Ceremonial Parade Legguards,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Bloodoath Signet,Hyperlight Band,Decanter of Anima-Charged Winds,Gluttonous Spike,Crest of the Legionnaire General,Barbed-Edge of the Stone Legion,Acidslough Bulwark,147680228,Fashionable Undershirt,Tabard of the Scarlet Crusade
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Stompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Sinful Gladiator's Insignia of Alacrity,Inscrutable Quantum Device,Sinful Gladiator's Drape,Gorestained Cleaver,Chyrus's Crest of Hope,159091234,,Renowned Guild Tabard
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Signet of the False Accuser,Sinful Gladiator's Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Sinful Gladiator's Drape,Sophisticated Bonecracker,Encrusted Canopic Lid,212008114,Antiseptic-Soaked Dressing,
Darkfrost Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Hardened Castle Crushers,Signet of the False Accuser,Ritualist's Treasured Ring,Instructor's Divine Bell,Gluttonous Spike,Cowled Batwing Cloak,Sinsmasher,Sylvan Whiteshield,158529201,,
Wrathbark Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Pulsating Stoneheart,Blood-Spattered Scale,Decadent Nathrian Shawl,Sinsmasher,Encrusted Canopic Lid,196612163,Precious' Ribbon,Tabard of the Explorer
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Bladedancer's Armor Kit,Dealer Xy'exa's Cape,Gorestained Cleaver,Sinful Gladiator's Guard,163174909,,
Darkfrost Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Bargast's Leash,Blood-Spattered Scale,Dealer Xy'exa's Cape,Gorestained Cleaver,Elysian Sentinel's Aegis,165263305,Red Linen Shirt,
Wing Commander's Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fogweaver Gauntlets,Entwined Gorger Tendril,Ring of Perpetual Conflict,Overwhelming Power Crystal,Inscrutable Quantum Device,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Acidslough Bulwark,79077339,Undisputed Champion's Shirt,Tabard of the Argent Crusade
Sinful Gladiator's Plate Helm,Sinful Gladiator's Amulet,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Ardent Sunstar Signet,Gluttonous Spike,Stone Legion Heraldry,Blighted Margrave's Cloak,Gorestained Cleaver,Burden of the Protectorate,154525526,Pink Mageweave Shirt,
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Gorestained Cleaver,Barricade of the Endless Empire,30725823,,Tabard of the Lightbringer
Wing Commander's Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Band of the Risen Bonelord,Bargast's Leash,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,155984447,,Orgrimmar Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Stonebark Girdle,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ardent Sunstar Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Bladedancer's Armor Kit,Decadent Nathrian Shawl,Engorged Worm Smasher,Barricade of the Endless Empire,198168755,,
Wrathbark Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Brutal Dissonance,Stormtempered Girdle,Shadowghast Greaves,Warboots of Ruthless Conviction,Dread Sentinel's Ebony Vambraces,Colossal Plate Gauntlets,Death God's Signet,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,148155700,,Court of Harvesters Tabard
Wing Commander's Helmet,Noble's Birthstone Pendant,Epaulettes of Overwhelming Force,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Hardened Castle Crushers,Fleshfused Circle,Signet of the False Accuser,Slimy Consumptive Organ,Phial of Putrefaction,Mantle of Manifest Sins,Engorged Worm Smasher,Encrusted Canopic Lid,244032512,,Tabard of the Ascended
Plague Handler's Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fogweaver Gauntlets,Most Regal Signet of Sire Denathrius,Bloodoath Signet,Spare Meat Hook,Macabre Sheet Music,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,147726049,Master Builder's Shirt,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Galvanized Oxxein Legguards,Selfless Collector's Warboots,Vambraces of the Depraved Warden,Guilewind Stone Talons,Bloodoath Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Engorged Worm Smasher,Acidslough Bulwark,157999368,,Tabard of Summer Flames
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Shieldguard's Warboots,Hellhound Cuffs,Fogweaver Gauntlets,Ritual Bone Band,Signet of the False Accuser,Sanguine Vintage,Blood-Spattered Scale,Crest of the Legionnaire General,Axe of the Deadgrove,Acidslough Bulwark,176200023,Precious' Ribbon,
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Xandria's Kopis of Courage,Chyrus's Crest of Hope,156617032,,
Darkfrost Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Gauntlets of Ruthless Reprisal,Fleshfused Circle,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Spellblade of Antiquity,Barricade of the Endless Empire,195290775,Brown Linen Shirt,
Wing Commander's Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Entwined Gorger Tendril,Ritualist's Treasured Ring,Anima Field Emitter,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Gorestained Cleaver,Encrusted Canopic Lid,128578168,Common White Shirt,Tabard of the Zandalari
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Dynamo Doomstompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Bloodoath Signet,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Spare Meat Hook,Dealer Xy'exa's Cape,Gorestained Cleaver,Kudebeh's Remarkable Targe,191175221,Common Gray Shirt,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Dynamo Doomstompers,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Ritual Bone Band,Bloodoath Signet,Darkmoon Deck: Indomitable,Stone Legion Heraldry,Dealer Xy'exa's Cape,Axe of the Deadgrove,Sinful Gladiator's Guard,158675554,,
Darkfrost Helmet,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritualist's Treasured Ring,Ardent Sunstar Signet,Inscrutable Quantum Device,Sinful Aspirant's Medallion,Blighted Margrave's Cloak,Sorrowbane,,165153987,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Anima Field Emitter,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,100173719,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Fleshfused Crushers,Hyperlight Band,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Darkmoon Deck: Indomitable,Drape of Twisted Loyalties,Engorged Worm Smasher,Acidslough Bulwark,176746807,,Thunder Bluff Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ritualist's Treasured Ring,Ardent Sunstar Signet,Anima Field Emitter,Viscera of Coalesced Hatred,Decadent Nathrian Shawl,Engorged Worm Smasher,Barricade of the Endless Empire,116613516,,
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Selfless Collector's Chestplate,Shadowghast Waistguard,Gormshell Greaves,Selfless Collector's Warboots,Reality-Shatter Vambraces,Selfless Collector's Gauntlets,Arachnid Cipher Ring,Death God's Signet,Overwhelming Power Crystal,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,88245594,,Guild Tabard
Darkfrost Helmet,Sinful Gladiator's Amulet,Sinful Gladiator's Plate Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Shadowghast Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Sinful Gladiator's Signet,Most Regal Signet of Sire Denathrius,Inscrutable Quantum Device,Anima Field Emitter,Cowled Batwing Cloak,Stoneborn Terrorblade,Builwark of the Stone Legion,167698075,Last Season's Shirt,
Shadowghast Helm,Sinful Gladiator's Pendant,Pauldrons of Unleashed Pride,Tharatos' Charred Chestplate,Selfless Collector's Girdle,Gormshell Greaves,Selfless Collector's Warboots,Vambraces of the Depraved Warden,Selfless Collector's Gauntlets,Arachnid Cipher Ring,Ardent Sunstar Signet,Bladedancer's Armor Kit,Bargast's Leash,Blighted Margrave's Cloak,Sacred Sparrer's Edge,Acidslough Bulwark,162546992,Tuxedo Shirt,Guild Tabard
Wrathbark Greathelm,Sinful Gladiator's Amulet,Sinful Gladiator's Plate Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Gauntlets of the Iron Furnace,Most Regal Signet of Sire Denathrius,Hyperlight Band,Blood-Spattered Scale,Sanguine Vintage,Crest of the Legionnaire General,Axe of the Deadgrove,Barricade of the Endless Empire,173716956,Artisan Officer's Shirt,Renowned Guild Tabard
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Darkmoon Deck: Voracity,Sanguine Vintage,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,172586260,,Guild Tabard
Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Selfless Collector's Warboots,Pit Fighter's Wristguards,Guilewind Stone Talons,Fleshfused Circle,Arachnid Cipher Ring,Darkmoon Deck: Indomitable,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Supercollider,Sylvan Whiteshield,157923478,,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Binding of Warped Desires,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Hyperlight Band,Death God's Signet,Stone Legion Heraldry,Blood-Spattered Scale,Crest of the Legionnaire General,Sinsmasher,Elysian Sentinel's Aegis,97948659,Stylish Black Shirt,Tabard of the Argent Crusade
Diadem of Imperious Desire,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Stonebark Girdle,Shadowghast Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fallen Templar's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Bargast's Leash,Gluttonous Spike,Crest of the Legionnaire General,Axe of the Deadgrove,Stonewrought Gargoyles Barrier,161824833,,Guild Tabard
Wing Commander's Helmet,Muckformed Chain Choker,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Selfless Collector's Girdle,Shieldguard's Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Fleshfused Crushers,Twisted Witherroot Band,Ritualist's Treasured Ring,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Mantle of Manifest Sins,Engorged Worm Smasher,Barricade of the Endless Empire,170037806,,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Gluttonous Spike,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,244313418,,
