character.id,name,achievement_points,equipped_item_level,gender.name,faction.name,race.name,active_spec.name,realm.slug,guild.name,pvp_summary.href,statistics.href,mythic_keystone_profile.href,equipment.href,active_title.name,professions.href,covenant_progress.chosen_covenant.name,covenant_progress.renown_level,covenant_progress.soulbinds.href
158963308,Aucharius,10615,215,Male,Alliance,Lightforged Draenei,Protection,darkmoon-faire,The Left Hand,https://eu.api.blizzard.com/profile/wow/character/darkmoon-faire/aucharius/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/darkmoon-faire/aucharius/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/darkmoon-faire/aucharius/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/darkmoon-faire/aucharius/equipment?namespace=profile-eu,Starcaller,https://eu.api.blizzard.com/profile/wow/character/darkmoon-faire/aucharius/professions?namespace=profile-eu,Venthyr,26,https://eu.api.blizzard.com/profile/wow/character/darkmoon-faire/aucharius/soulbinds?namespace=profile-eu
172804819,Khoria,24680,212,Female,Horde,Blood Elf,Protection,twisting-nether,Soft Bread,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/khoria/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/khoria/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/khoria/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/khoria/equipment?namespace=profile-eu,the Chosen,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/khoria/professions?namespace=profile-eu,Kyrian,21,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/khoria/soulbinds?namespace=profile-eu
99440777,Koniria,20270,217,Female,Horde,Blood Elf,Protection,zuluhed,Handsome Crew,https://eu.api.blizzard.com/profile/wow/character/zuluhed/koniria/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/zuluhed/koniria/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/zuluhed/koniria/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/zuluhed/koniria/equipment?namespace=profile-eu,Highlord,https://eu.api.blizzard.com/profile/wow/character/zuluhed/koniria/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/zuluhed/koniria/soulbinds?namespace=profile-eu
165797653,Päm,11600,216,Female,Horde,Blood Elf,Protection,twisting-nether,Instructions Unclear,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/p%C3%A4m/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/p%C3%A4m/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/p%C3%A4m/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/p%C3%A4m/equipment?namespace=profile-eu,Postmaster,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/p%C3%A4m/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/twisting-nether/p%C3%A4m/soulbinds?namespace=profile-eu
89907460,Nimsy,18515,219,Female,Horde,Blood Elf,Protection,blackhand,Santa Muerte,https://eu.api.blizzard.com/profile/wow/character/blackhand/nimsy/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackhand/nimsy/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackhand/nimsy/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackhand/nimsy/equipment?namespace=profile-eu,Savior of Azeroth,https://eu.api.blizzard.com/profile/wow/character/blackhand/nimsy/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/blackhand/nimsy/soulbinds?namespace=profile-eu
182510604,Oswäld,14335,217,Male,Horde,Blood Elf,Protection,archimonde,La Mano,https://eu.api.blizzard.com/profile/wow/character/archimonde/osw%C3%A4ld/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/archimonde/osw%C3%A4ld/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/archimonde/osw%C3%A4ld/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/archimonde/osw%C3%A4ld/equipment?namespace=profile-eu,Highlord,https://eu.api.blizzard.com/profile/wow/character/archimonde/osw%C3%A4ld/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/archimonde/osw%C3%A4ld/soulbinds?namespace=profile-eu
167088252,Brunori,3745,214,Male,Horde,Blood Elf,Protection,tarren-mill,Style,https://eu.api.blizzard.com/profile/wow/character/tarren-mill/brunori/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/tarren-mill/brunori/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/tarren-mill/brunori/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/tarren-mill/brunori/equipment?namespace=profile-eu,the Patient,https://eu.api.blizzard.com/profile/wow/character/tarren-mill/brunori/professions?namespace=profile-eu,Venthyr,26,https://eu.api.blizzard.com/profile/wow/character/tarren-mill/brunori/soulbinds?namespace=profile-eu
35008478,Helldorado,24850,213,Male,Horde,Blood Elf,Protection,dethecus,Executors of Light,https://eu.api.blizzard.com/profile/wow/character/dethecus/helldorado/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/dethecus/helldorado/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/dethecus/helldorado/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/dethecus/helldorado/equipment?namespace=profile-eu,Highlord,https://eu.api.blizzard.com/profile/wow/character/dethecus/helldorado/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/dethecus/helldorado/soulbinds?namespace=profile-eu
98593662,Squall,18185,213,Male,Alliance,Human,Protection,zuluhed,Vision of the Sun,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/equipment?namespace=profile-eu,Architect,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/soulbinds?namespace=profile-eu
134244517,Marhun,20780,215,Male,Horde,Blood Elf,Protection,drakthul,Just a Scratch,https://eu.api.blizzard.com/profile/wow/character/drakthul/marhun/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/drakthul/marhun/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/drakthul/marhun/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/drakthul/marhun/equipment?namespace=profile-eu,the Proud,https://eu.api.blizzard.com/profile/wow/character/drakthul/marhun/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/drakthul/marhun/soulbinds?namespace=profile-eu
