character.id,name,achievement_points,equipped_item_level,gender.name,faction.name,race.name,active_spec.name,realm.slug,guild.name,pvp_summary.href,statistics.href,mythic_keystone_profile.href,equipment.href,active_title.name,professions.href,covenant_progress.chosen_covenant.name,covenant_progress.renown_level,covenant_progress.soulbinds.href
144489860,Kubeckson,9725,218,Male,Horde,Blood Elf,Protection,drakthul,United we stand,https://eu.api.blizzard.com/profile/wow/character/drakthul/kubeckson/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/drakthul/kubeckson/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/drakthul/kubeckson/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/drakthul/kubeckson/equipment?namespace=profile-eu,the Proud,https://eu.api.blizzard.com/profile/wow/character/drakthul/kubeckson/professions?namespace=profile-eu,Venthyr,26,https://eu.api.blizzard.com/profile/wow/character/drakthul/kubeckson/soulbinds?namespace=profile-eu
98593662,Squall,18185,213,Male,Alliance,Human,Protection,zuluhed,Vision of the Sun,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/equipment?namespace=profile-eu,Architect,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/zuluhed/squall/soulbinds?namespace=profile-eu
155879663,Honeymelon,14260,212,Female,Alliance,Dark Iron Dwarf,Protection,antonidas,Deeprun Tram Security,https://eu.api.blizzard.com/profile/wow/character/antonidas/honeymelon/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/antonidas/honeymelon/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/antonidas/honeymelon/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/antonidas/honeymelon/equipment?namespace=profile-eu,the Celestial Defender,https://eu.api.blizzard.com/profile/wow/character/antonidas/honeymelon/professions?namespace=profile-eu,Kyrian,25,https://eu.api.blizzard.com/profile/wow/character/antonidas/honeymelon/soulbinds?namespace=profile-eu
188759228,Karmacharger,8975,217,Female,Alliance,Lightforged Draenei,Protection,silvermoon,Arthas Offspring,https://eu.api.blizzard.com/profile/wow/character/silvermoon/karmacharger/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/silvermoon/karmacharger/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/silvermoon/karmacharger/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/silvermoon/karmacharger/equipment?namespace=profile-eu,Spirestalker,https://eu.api.blizzard.com/profile/wow/character/silvermoon/karmacharger/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/silvermoon/karmacharger/soulbinds?namespace=profile-eu
111517020,Ninniiee,21100,214,Female,Horde,Blood Elf,Protection,blackhand,Last Ambition,https://eu.api.blizzard.com/profile/wow/character/blackhand/ninniiee/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackhand/ninniiee/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackhand/ninniiee/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/blackhand/ninniiee/equipment?namespace=profile-eu,Warlord of Draenor,https://eu.api.blizzard.com/profile/wow/character/blackhand/ninniiee/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/blackhand/ninniiee/soulbinds?namespace=profile-eu
196305197,Айнест,21305,210,Female,Alliance,Lightforged Draenei,Protection,gordunni,Парадокс,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B0%D0%B9%D0%BD%D0%B5%D1%81%D1%82/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B0%D0%B9%D0%BD%D0%B5%D1%81%D1%82/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B0%D0%B9%D0%BD%D0%B5%D1%81%D1%82/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B0%D0%B9%D0%BD%D0%B5%D1%81%D1%82/equipment?namespace=profile-eu,Elder,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B0%D0%B9%D0%BD%D0%B5%D1%81%D1%82/professions?namespace=profile-eu,Kyrian,25,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B0%D0%B9%D0%BD%D0%B5%D1%81%D1%82/soulbinds?namespace=profile-eu
116301949,Faradaddy,19765,216,Male,Horde,Tauren,Protection,sunstrider,Lore Reasons,https://eu.api.blizzard.com/profile/wow/character/sunstrider/faradaddy/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sunstrider/faradaddy/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sunstrider/faradaddy/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sunstrider/faradaddy/equipment?namespace=profile-eu,Loremaster,https://eu.api.blizzard.com/profile/wow/character/sunstrider/faradaddy/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/sunstrider/faradaddy/soulbinds?namespace=profile-eu
198091753,Mavtank,17160,216,Male,Horde,Tauren,Protection,hyjal,War Impact,https://eu.api.blizzard.com/profile/wow/character/hyjal/mavtank/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/hyjal/mavtank/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/hyjal/mavtank/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/hyjal/mavtank/equipment?namespace=profile-eu,the Insane,https://eu.api.blizzard.com/profile/wow/character/hyjal/mavtank/professions?namespace=profile-eu,Kyrian,25,https://eu.api.blizzard.com/profile/wow/character/hyjal/mavtank/soulbinds?namespace=profile-eu
105499292,Frìttì,20730,213,Male,Alliance,Lightforged Draenei,Protection,antonidas,High Skilled Low Geared,https://eu.api.blizzard.com/profile/wow/character/antonidas/fr%C3%ACtt%C3%AC/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/antonidas/fr%C3%ACtt%C3%AC/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/antonidas/fr%C3%ACtt%C3%AC/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/antonidas/fr%C3%ACtt%C3%AC/equipment?namespace=profile-eu,Servant of N'Zoth,https://eu.api.blizzard.com/profile/wow/character/antonidas/fr%C3%ACtt%C3%AC/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/antonidas/fr%C3%ACtt%C3%AC/soulbinds?namespace=profile-eu
118111038,Chaosstar,10855,211,Male,Alliance,Human,Protection,ravencrest,Crown,https://eu.api.blizzard.com/profile/wow/character/ravencrest/chaosstar/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/ravencrest/chaosstar/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/ravencrest/chaosstar/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/ravencrest/chaosstar/equipment?namespace=profile-eu,Twilight Vanquisher,https://eu.api.blizzard.com/profile/wow/character/ravencrest/chaosstar/professions?namespace=profile-eu,Kyrian,24,https://eu.api.blizzard.com/profile/wow/character/ravencrest/chaosstar/soulbinds?namespace=profile-eu
