L15,L25,L30,L35,L40,L45,L50,character.id
Holy Shield,Crusader's Judgment,Fist of Justice,Cavalier,Divine Purpose,Hand of the Protector,Sanctified Wrath,194386574
Blessed Hammer,First Avenger,Blinding Light,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Righteous Protector,209809699
Holy Shield,First Avenger,Blinding Light,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Final Stand,164701935
Blessed Hammer,First Avenger,Blinding Light,Cavalier,Divine Purpose,Consecrated Ground,Righteous Protector,111017100
Holy Shield,First Avenger,Fist of Justice,Unbreakable Spirit,Divine Purpose,Judgment of Light,Final Stand,85396355
Redoubt,Crusader's Judgment,Blinding Light,Blessing of Spellwarding,Divine Purpose,Judgment of Light,Righteous Protector,165507222
Blessed Hammer,First Avenger,Fist of Justice,Unbreakable Spirit,Divine Purpose,Judgment of Light,Final Stand,116737346
Holy Shield,First Avenger,Fist of Justice,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Sanctified Wrath,162775094
Holy Shield,First Avenger,Blinding Light,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Righteous Protector,164826119
Holy Shield,First Avenger,Fist of Justice,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Final Stand,84566364
Blessed Hammer,First Avenger,Blinding Light,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Final Stand,166768405
Holy Shield,First Avenger,Fist of Justice,Cavalier,Divine Purpose,Consecrated Ground,Final Stand,44926816
Holy Shield,Crusader's Judgment,Blinding Light,Cavalier,Divine Purpose,Consecrated Ground,Righteous Protector,120373370
Holy Shield,First Avenger,Blinding Light,Blessing of Spellwarding,Divine Purpose,Consecrated Ground,Sanctified Wrath,155465560
Holy Shield,First Avenger,Fist of Justice,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Sanctified Wrath,154156029
Holy Shield,First Avenger,Fist of Justice,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Final Stand,154395030
Holy Shield,First Avenger,Blinding Light,Unbreakable Spirit,Holy Avenger,Hand of the Protector,Righteous Protector,166734171
Holy Shield,First Avenger,Blinding Light,Cavalier,Divine Purpose,Consecrated Ground,Sanctified Wrath,181393909
Blessed Hammer,First Avenger,Blinding Light,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Righteous Protector,148169893
Holy Shield,First Avenger,Blinding Light,Unbreakable Spirit,Divine Purpose,Hand of the Protector,Final Stand,123988351
Holy Shield,Crusader's Judgment,Blinding Light,Unbreakable Spirit,Divine Purpose,Judgment of Light,Sanctified Wrath,150700960
Holy Shield,First Avenger,Repentance,Cavalier,Divine Purpose,Judgment of Light,Final Stand,140826339
Holy Shield,First Avenger,Blinding Light,Blessing of Spellwarding,Holy Avenger,Consecrated Ground,Final Stand,134795825
Blessed Hammer,First Avenger,Blinding Light,Cavalier,Divine Purpose,Consecrated Ground,Sanctified Wrath,176395591
Holy Shield,First Avenger,Blinding Light,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Final Stand,146437861
Blessed Hammer,First Avenger,Fist of Justice,Unbreakable Spirit,Seraphim,Judgment of Light,Righteous Protector,217470555
Holy Shield,First Avenger,Fist of Justice,Unbreakable Spirit,Divine Purpose,Judgment of Light,Righteous Protector,247013395
Holy Shield,First Avenger,Blinding Light,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Final Stand,159709105
Holy Shield,First Avenger,Fist of Justice,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Final Stand,194658674
Holy Shield,Crusader's Judgment,Blinding Light,Cavalier,Divine Purpose,Hand of the Protector,Sanctified Wrath,72227975
Holy Shield,Crusader's Judgment,Blinding Light,Unbreakable Spirit,Divine Purpose,Consecrated Ground,Righteous Protector,156374158
Holy Shield,Crusader's Judgment,Fist of Justice,Unbreakable Spirit,Divine Purpose,Judgment of Light,Sanctified Wrath,159145308
Holy Shield,First Avenger,Repentance,Cavalier,Divine Purpose,Consecrated Ground,Final Stand,194739259
Holy Shield,First Avenger,Fist of Justice,Unbreakable Spirit,Divine Purpose,Hand of the Protector,Righteous Protector,94693709
