Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,Red Linen Shirt,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Overwhelming Power Crystal,Decanter of Anima-Charged Winds,Crest of the Legionnaire General,Axe of the Deadgrove,Chyrus's Crest of Hope,Tabard of the Ascended,102178351
Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Most Regal Signet of Sire Denathrius,Sinful Gladiator's Signet,Anima Field Emitter,Splintered Heart of Al'ar,Mantle of Manifest Sins,Supercollider,Elysian Sentinel's Aegis,,142577511
Darkfrost Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Ardent Sunstar Signet,Hyperlight Band,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,,129705563
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,Illustrious Guild Tabard,192599651
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ring of Perpetual Conflict,Signet of the False Accuser,Darkmoon Deck: Indomitable,Slimy Consumptive Organ,Drape of Twisted Loyalties,Sophisticated Bonecracker,Encrusted Canopic Lid,Tabard of the Lightbringer,1644249
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Bloodoath Signet,Signet of the False Accuser,Decanter of Anima-Charged Winds,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,,100330881
Darkfrost Helmet,Trailspinner Pendant,Epaulettes of Overwhelming Force,,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Signet of the False Accuser,Ardent Sunstar Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Gorestained Cleaver,Acidslough Bulwark,Renowned Guild Tabard,140247153
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,Fashionable Undershirt,Breastplate of Cautious Calculation,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Sinful Aspirant's Insignia of Alacrity,Hymnal of the Path,Cowled Batwing Cloak,Sacred Sparrer's Edge,Encrusted Canopic Lid,Tabard of the Lightbringer,173745100
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Entwined Gorger Tendril,Bloodoath Signet,Decanter of Anima-Charged Winds,Anima Field Emitter,Mantle of Manifest Sins,Sinsmasher,Acidslough Bulwark,,189075251
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Artisan Member's Shirt,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Death God's Signet,Splintered Heart of Al'ar,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Gorestained Cleaver,Sinful Gladiator's Guard,Thunder Bluff Tabard,131225862
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Stylish Black Shirt,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sinsmasher,Builwark of the Stone Legion,Tabard of the Ascended,134419779
Sinful Gladiator's Plate Helm,Trailspinner Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Fogweaver Gauntlets,Band of the Risen Bonelord,Death God's Signet,Spare Meat Hook,Pulsating Stoneheart,Drape of Twisted Loyalties,Sinful Gladiator's Hacker,Sinful Gladiator's Guard,,120605132
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Shadowghast Greaves,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Ring of Perpetual Conflict,Bloodoath Signet,Blood-Spattered Scale,Anima Field Emitter,Crest of the Legionnaire General,Sophisticated Bonecracker,Sinful Gladiator's Guard,,191422244
Wing Commander's Helmet,Trailspinner Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Valinor's Ground Pounders,Hellhound Cuffs,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Arachnid Cipher Ring,Anima Field Emitter,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,,175680362
Diadem of Imperious Desire,Sin Stained Pendant,Pauldrons of Unleashed Pride,Wraps of the Blood-Soaked Brawler,Sinful Aspirant's Plate Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Shadowghast Ring,Ritualist's Treasured Ring,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Acidslough Bulwark,August Celestials Tabard,17377688
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Stonebark Girdle,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Bloodoath Signet,Gluttonous Spike,Bargast's Leash,Blighted Margrave's Cloak,Sinsmasher,Sinful Aspirant's Barrier,,56971754
Oversized Centurion Helm,Charm of Eternal Winter,Shadowghast Pauldrons,Artisan Officer's Shirt,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Fleshfused Crushers,Ardent Sunstar Signet,Band of the Risen Bonelord,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Cowled Batwing Cloak,Xandria's Kopis of Courage,Stonewrought Gargoyles Barrier,,155579085
Oversized Centurion Helm,Sinful Gladiator's Necklace,Vile Butcher's Pauldrons,Fashionable Undershirt,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Stompers,Hellhound Cuffs,Fleshfused Crushers,Sinful Gladiator's Ring,Shadowghast Ring,Decanter of Anima-Charged Winds,Darkmoon Deck: Indomitable,Dealer Xy'exa's Cape,Sinful Gladiator's Xiphos,Acidslough Bulwark,Argent Crusader's Tabard,162118109
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,,Rampaging Giant's Chestplate,Binding of Warped Desires,Ceremonial Parade Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Fleshfused Circle,Ring of Perpetual Conflict,Gluttonous Spike,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Barricade of the Endless Empire,Gilneas Tabard,158713851
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Entwined Gorger Tendril,Band of the Risen Bonelord,Overwhelming Power Crystal,Anima Field Emitter,Dealer Xy'exa's Cape,Supercollider,Acidslough Bulwark,,80096614
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Muckwallow Stompers,Hellhound Cuffs,Fogweaver Gauntlets,Ardent Sunstar Signet,Ritualist's Treasured Ring,Splintered Heart of Al'ar,Darkmoon Deck: Voracity,Drape of Twisted Loyalties,Engorged Worm Smasher,Elysian Sentinel's Aegis,Tabard of the Lightbringer,133568156
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Hardened Castle Crushers,Shadowghast Ring,Signet of the False Accuser,Viscera of Coalesced Hatred,Blood-Spattered Scale,Crest of the Legionnaire General,Supercollider,Acidslough Bulwark,Orgrimmar Tabard,111294239
Shadowghast Helm,Sinful Gladiator's Necklace,Vile Butcher's Pauldrons,,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Selfless Collector's Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Sinful Gladiator's Band,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Macabre Sheet Music,Blighted Margrave's Cloak,Sinsmasher,Sinful Gladiator's Guard,,192525940
Shadowghast Helm,Sinful Gladiator's Necklace,Prankster's Pauldrons,,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Spare Meat Hook,Sinful Aspirant's Medallion,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,,175394346
Shadowghast Helm,Trailspinner Pendant,Prankster's Pauldrons,,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Fleshfused Crushers,Bloodoath Signet,Stitchflesh's Misplaced Signet,Sanguine Vintage,Blood-Spattered Scale,Cowled Batwing Cloak,Sacred Sparrer's Edge,Chyrus's Crest of Hope,,115528707
Oversized Centurion Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Arachnid Cipher Ring,Death God's Signet,Spare Meat Hook,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sinsmasher,Encrusted Canopic Lid,Renowned Guild Tabard,160370695
Sinful Gladiator's Plate Helm,Muckformed Chain Choker,Shadowghast Pauldrons,Fashionable Undershirt,Breastplate of Cautious Calculation,Fused Bone Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Sinful Aspirant's Ring,Chalice Noble's Signet,Gluttonous Spike,Viscera of Coalesced Hatred,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Acidslough Bulwark,,144463368
Wing Commander's Helmet,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Distorted Construct's Gauntlets,Signet of the False Accuser,Death God's Signet,Inscrutable Quantum Device,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,,210056226
Shadowghast Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Precious' Ribbon,Breastplate of Otherworldly Influence,Binding of Warped Desires,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Fallen Templar's Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Viscera of Coalesced Hatred,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Ascended Gladius of Glory,Acidslough Bulwark,Tabard of the Ascended,187244003
Diadem of Imperious Desire,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Shadowghast Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Hyperlight Band,Stone Legion Heraldry,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Supercollider,Builwark of the Stone Legion,,174652720
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Fashionable Undershirt,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Guilewind Stone Talons,Ritual Commander's Ring,Stitchflesh's Misplaced Signet,Sinful Aspirant's Badge of Ferocity,Sinful Aspirant's Insignia of Alacrity,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Sinful Gladiator's Guard,,237865862
Darkfrost Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Guilewind Stone Talons,Arachnid Cipher Ring,Stitchflesh's Misplaced Signet,Spare Meat Hook,Overwhelming Power Crystal,Mantle of Manifest Sins,Supercollider,Encrusted Canopic Lid,Renowned Guild Tabard,162773143
Plague Handler's Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Fleshfused Circle,Shadowghast Ring,Pulsating Stoneheart,Overwhelming Power Crystal,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,,26398419
Shadowghast Helm,Trailspinner Pendant,Sapsteel Pauldrons,,Abdominal Securing Chestguard,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Anima Field Emitter,Macabre Sheet Music,Crest of the Legionnaire General,Axe of the Deadgrove,Encrusted Canopic Lid,,243685341
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Stylish Black Shirt,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Hardened Castle Crushers,Sinful Gladiator's Signet,Ritual Bone Band,Decanter of Anima-Charged Winds,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Engorged Worm Smasher,Sinful Gladiator's Guard,Tabard of the Shattered Sun,111091192
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Prankster's Pauldrons,,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Shadowghast Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Hyperlight Band,Ritualist's Treasured Ring,Sinful Gladiator's Badge of Ferocity,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,Renowned Guild Tabard,167799245
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Red Linen Shirt,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Most Regal Signet of Sire Denathrius,Ritual Commander's Ring,Decanter of Anima-Charged Winds,Anima Field Emitter,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,Guild Tabard,113572063
