Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Red Swashbuckler's Shirt,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Signet of the False Accuser,Ritual Bone Band,Inscrutable Quantum Device,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,Argent Crusader's Tabard,41056082
Sinful Gladiator's Plate Helm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Ritual Bone Band,Splintered Heart of Al'ar,Anima Field Emitter,Crest of the Legionnaire General,Engorged Worm Smasher,Barricade of the Endless Empire,Tabard of the Argent Crusade,137831375
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Artisan Officer's Shirt,Rampaging Giant's Chestplate,Stonebark Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Stone Legion Heraldry,Cowled Batwing Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,,108995357
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Ebon Filigreed Doublet,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Endlessly Gluttonous Greaves,Dynamo Doomstompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Stone Legion Heraldry,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,Argent Crusader's Tabard,114556606
Plague Handler's Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Gluttonous Spike,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Acidslough Bulwark,Tabard of the Lightbringer,124366429
Wing Commander's Helmet,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,White Tuxedo Shirt,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Greatbelt,Shadowghast Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Ardent Sunstar Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Sinful Gladiator's Drape,Supercollider,Sinful Gladiator's Redoubt,,135330361
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Stitchflesh's Misplaced Signet,Sinful Aspirant's Insignia of Alacrity,Splintered Heart of Al'ar,Sinful Gladiator's Drape,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of the Lightbringer,163224163
Darkfrost Helmet,Sinful Gladiator's Amulet,Pauldrons of Unleashed Pride,Initiate's Shirt,Abdominal Securing Chestguard,Shadowghast Waistguard,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Signet,Ritual Bone Band,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,Guild Tabard,93089091
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Death God's Signet,Hyperlight Band,Blood-Spattered Scale,Anima Field Emitter,Decadent Nathrian Shawl,Axe of the Deadgrove,Encrusted Canopic Lid,Renowned Guild Tabard,140827443
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Precious' Ribbon,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Badge of Ferocity,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,Tabard of the Lightbringer,75165662
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Ring,Bloodoath Signet,Inscrutable Quantum Device,Sinful Aspirant's Insignia of Alacrity,Dealer Xy'exa's Cape,Sinsmasher,Sinful Gladiator's Guard,,165287936
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Fleshfused Circle,Entwined Gorger Tendril,Anima Field Emitter,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,Encrusted Canopic Lid,,117146148
