Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Tailored Officer's Shirt,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Arachnid Cipher Ring,Gluttonous Spike,Bladedancer's Armor Kit,Drape of Twisted Loyalties,Gorestained Cleaver,Encrusted Canopic Lid,Tabard of the Lightbringer,139653617
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Signet of the False Accuser,Most Regal Signet of Sire Denathrius,Sanguine Vintage,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Tabard of the Lightbringer,127168376
Shadowghast Helm,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,Elysian Sentinel's Aegis,,175810099
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Hyperlight Band,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Engorged Worm Smasher,Sinful Gladiator's Guard,Thunder Bluff Tabard,161267279
Diadem of Imperious Desire,Sinful Gladiator's Amulet,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Wargreaves,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Band,Sinful Gladiator's Ring,Sinful Aspirant's Badge of Ferocity,Sinful Aspirant's Insignia of Alacrity,Decadent Nathrian Shawl,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Tabard of the Lightbringer,191840232
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Selfless Collector's Girdle,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Overwhelming Power Crystal,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Sylvan Whiteshield,Guild Tabard,174805952
Wrathbark Greathelm,Sinful Gladiator's Amulet,Shadowghast Pauldrons,Lucky Shirt,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Hardened Castle Crushers,Signet of the False Accuser,Death God's Signet,Slimy Consumptive Organ,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,Renowned Guild Tabard,172739751
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,,Shieldguard's Breastplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Shoulderblade Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Bloodoath Signet,Slimy Consumptive Organ,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,Renowned Guild Tabard,111052905
Shadowghast Helm,Muckformed Chain Choker,Sinful Gladiator's Plate Pauldrons,Last Season's Shirt,Abdominal Securing Chestguard,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Vambraces,Fogweaver Gauntlets,Sinful Gladiator's Ring,Sinful Gladiator's Signet,Anima Field Emitter,Inscrutable Quantum Device,Blighted Margrave's Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,Tabard of the Lightbringer,164541110
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Paper Shirt,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Valinor's Ground Pounders,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Bone Band,Signet of the False Accuser,Pulsating Stoneheart,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Sinsmasher,Encrusted Canopic Lid,Argent Crusader's Tabard,185322365
