Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Darkfrost Helmet,Sinful Gladiator's Amulet,Shadowghast Pauldrons,Ebon Filigreed Doublet,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Wargreaves,Sinful Gladiator's Plate Warboots,Sinful Aspirant's Plate Cuffs,Fleshfused Crushers,Ritualist's Treasured Ring,Bloodoath Signet,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Blighted Margrave's Cloak,Supercollider,Sinful Gladiator's Guard,Brawler's Guild Tabard,153765540
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Precious' Ribbon,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Renowned Guild Tabard,199152184
Sinful Gladiator's Plate Helm,Sinful Gladiator's Amulet,Prankster's Pauldrons,,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Shadowghast Ring,Sinful Gladiator's Ring,Slimy Consumptive Organ,Sinful Aspirant's Medallion,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Tabard of the Lightbringer,237817005
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Breastplate of Brutal Dissonance,Binding of Warped Desires,Legplates of Unholy Frenzy,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Bladedancer's Armor Kit,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinsmasher,Chyrus's Crest of Hope,Tabard of the Lightbringer,18820223
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Sinful Gladiator's Ring,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,,244844901
Shadowghast Helm,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,Precious' Ribbon,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Ritual Commander's Ring,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Sinful Gladiator's Drape,Engorged Worm Smasher,Barricade of the Endless Empire,Tabard of the Lightbringer,151740789
Sinful Gladiator's Plate Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Death God's Signet,Ritual Bone Band,Sinful Gladiator's Emblem,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Barricade of the Endless Empire,Stormwind Tabard,197580854
Darkfrost Helmet,Azure-Venom Choker,Pauldrons of Unleashed Pride,,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Hymnal of the Path,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,,59088983
Wing Commander's Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Artisan Officer's Shirt,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Fleshfused Circle,Hyperlight Band,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,Encrusted Canopic Lid,Tabard of the Ascended,149922389
Shadowghast Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Red Lumberjack Shirt,Sinful Gladiator's Plate Chestguard,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Engorged Worm Smasher,Sinful Gladiator's Guard,Tabard of the Ascended,153806585
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Master Builder's Shirt,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Entwined Gorger Tendril,Ritual Bone Band,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Xandria's Kopis of Courage,Chyrus's Crest of Hope,Renowned Guild Tabard,172607475
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Death God's Signet,Ritual Commander's Ring,Blood-Spattered Scale,Sanguine Vintage,Mantle of Manifest Sins,Axe of the Deadgrove,Encrusted Canopic Lid,Lightforged Tabard,112172855
