character.id,name,achievement_points,equipped_item_level,gender.name,faction.name,race.name,active_spec.name,realm.slug,guild.name,pvp_summary.href,statistics.href,mythic_keystone_profile.href,equipment.href,active_title.name,professions.href,covenant_progress.chosen_covenant.name,covenant_progress.renown_level,covenant_progress.soulbinds.href
156893097,Dawnbringer,11110,217,Female,Alliance,Lightforged Draenei,Protection,archimonde,Sin Brain,https://eu.api.blizzard.com/profile/wow/character/archimonde/dawnbringer/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/archimonde/dawnbringer/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/archimonde/dawnbringer/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/archimonde/dawnbringer/equipment?namespace=profile-eu,Empire's Twilight,https://eu.api.blizzard.com/profile/wow/character/archimonde/dawnbringer/professions?namespace=profile-eu,Kyrian,25,https://eu.api.blizzard.com/profile/wow/character/archimonde/dawnbringer/soulbinds?namespace=profile-eu
111673299,Gusrim,18780,217,Male,Alliance,Dwarf,Protection,shadowsong,Sarmatia,https://eu.api.blizzard.com/profile/wow/character/shadowsong/gusrim/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/shadowsong/gusrim/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/shadowsong/gusrim/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/shadowsong/gusrim/equipment?namespace=profile-eu,Hand of A'dal,https://eu.api.blizzard.com/profile/wow/character/shadowsong/gusrim/professions?namespace=profile-eu,Venthyr,20,https://eu.api.blizzard.com/profile/wow/character/shadowsong/gusrim/soulbinds?namespace=profile-eu
41056082,Loker,11850,212,Female,Alliance,Dwarf,Protection,auchindoun,Kupo,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/equipment?namespace=profile-eu,Crusader,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/auchindoun/loker/soulbinds?namespace=profile-eu
226274304,Valithria,32330,221,Female,Alliance,Draenei,Protection,sylvanas,Not Great Not Terrible,https://eu.api.blizzard.com/profile/wow/character/sylvanas/valithria/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sylvanas/valithria/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sylvanas/valithria/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sylvanas/valithria/equipment?namespace=profile-eu,the Insane,https://eu.api.blizzard.com/profile/wow/character/sylvanas/valithria/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/sylvanas/valithria/soulbinds?namespace=profile-eu
226283851,Doríáth,24695,220,Male,Alliance,Human,Protection,sylvanas,Operation Divine Storm,https://eu.api.blizzard.com/profile/wow/character/sylvanas/dor%C3%AD%C3%A1th/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sylvanas/dor%C3%AD%C3%A1th/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sylvanas/dor%C3%AD%C3%A1th/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sylvanas/dor%C3%AD%C3%A1th/equipment?namespace=profile-eu,Azeroth's Champion,https://eu.api.blizzard.com/profile/wow/character/sylvanas/dor%C3%AD%C3%A1th/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/sylvanas/dor%C3%AD%C3%A1th/soulbinds?namespace=profile-eu
176231782,Intrøper,10905,212,Male,Alliance,Dark Iron Dwarf,Protection,outland,Old Legends,https://eu.api.blizzard.com/profile/wow/character/outland/intr%C3%B8per/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/outland/intr%C3%B8per/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/outland/intr%C3%B8per/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/outland/intr%C3%B8per/equipment?namespace=profile-eu,the Patient,https://eu.api.blizzard.com/profile/wow/character/outland/intr%C3%B8per/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/outland/intr%C3%B8per/soulbinds?namespace=profile-eu
175091275,Läthgërtha,16555,218,Female,Alliance,Human,Protection,dun-modr,Never Dies,https://eu.api.blizzard.com/profile/wow/character/dun-modr/l%C3%A4thg%C3%ABrtha/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/dun-modr/l%C3%A4thg%C3%ABrtha/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/dun-modr/l%C3%A4thg%C3%ABrtha/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/dun-modr/l%C3%A4thg%C3%ABrtha/equipment?namespace=profile-eu,Patron of War,https://eu.api.blizzard.com/profile/wow/character/dun-modr/l%C3%A4thg%C3%ABrtha/professions?namespace=profile-eu,Venthyr,26,https://eu.api.blizzard.com/profile/wow/character/dun-modr/l%C3%A4thg%C3%ABrtha/soulbinds?namespace=profile-eu
143937353,Blumes,19215,218,Female,Alliance,Human,Protection,argent-dawn,Tungsten,https://eu.api.blizzard.com/profile/wow/character/argent-dawn/blumes/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/argent-dawn/blumes/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/argent-dawn/blumes/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/argent-dawn/blumes/equipment?namespace=profile-eu,the Proud,https://eu.api.blizzard.com/profile/wow/character/argent-dawn/blumes/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/argent-dawn/blumes/soulbinds?namespace=profile-eu
226400871,Zaxonia,19410,217,Female,Alliance,Lightforged Draenei,Protection,sylvanas,Knikkerende Krijgers,https://eu.api.blizzard.com/profile/wow/character/sylvanas/zaxonia/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sylvanas/zaxonia/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sylvanas/zaxonia/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/sylvanas/zaxonia/equipment?namespace=profile-eu,the Insane,https://eu.api.blizzard.com/profile/wow/character/sylvanas/zaxonia/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/sylvanas/zaxonia/soulbinds?namespace=profile-eu
178142124,Десперайт,13120,221,Female,Alliance,Lightforged Draenei,Protection,gordunni,Статика,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B4%D0%B5%D1%81%D0%BF%D0%B5%D1%80%D0%B0%D0%B9%D1%82/pvp-summary?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B4%D0%B5%D1%81%D0%BF%D0%B5%D1%80%D0%B0%D0%B9%D1%82/statistics?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B4%D0%B5%D1%81%D0%BF%D0%B5%D1%80%D0%B0%D0%B9%D1%82/mythic-keystone-profile?namespace=profile-eu,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B4%D0%B5%D1%81%D0%BF%D0%B5%D1%80%D0%B0%D0%B9%D1%82/equipment?namespace=profile-eu,Vengeance Incarnate,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B4%D0%B5%D1%81%D0%BF%D0%B5%D1%80%D0%B0%D0%B9%D1%82/professions?namespace=profile-eu,Kyrian,26,https://eu.api.blizzard.com/profile/wow/character/gordunni/%D0%B4%D0%B5%D1%81%D0%BF%D0%B5%D1%80%D0%B0%D0%B9%D1%82/soulbinds?namespace=profile-eu
