character.id,profile.name,profile.slug,score
147885254,Doryl,blackmoore,833.4
192681831,Темиус,eversong,885.0
183667755,Джанд,soulflayer,789.5
121187188,Thasir,shattrath,959.2
165509716,Wargott,nathrezim,749.7
118095492,Palasch,blackhand,717.0
164840523,Kreùos,khaz-modan,931.0
129582875,Grimsvik,silvermoon,1238.3
194703181,Rise,nemesis,799.0
139802548,Ersguterhugo,blackrock,910.0
32092337,Malurian,garrosh,850.7
155666602,Alicsa,teldrassil,816.4
74305146,Planiox,garrosh,577.1
161737798,Abelia,garrosh,948.4
161824833,Borack,kargath,662.9
215704046,Ðiter,sylvanas,697.5
156100883,Loorlen,teldrassil,493.6
100517052,Holysilver,antonidas,1048.5
191817268,Дикийкирпич,gordunni,631.0
69121785,Syriel,nazjatar,1239.0
243500598,Djarlstam,arathor,813.3
155592525,Filar,perenolde,820.8
181199991,Дартзак,gordunni,827.3
155460865,Skrobel,antonidas,783.0
175305578,Hadríanus,burning-legion,834.2
96934379,Been,frostwolf,946.2
155028303,Avrîl,teldrassil,1158.1
61354117,Headhuntêr,kazzak,1409.7
143160103,Marqo,outland,1396.2
172901306,Aiffel,silvermoon,1298.9
77252681,Nexâla,blackhand,1234.5
91134220,Míccí,blackhand,798.9
20670128,Messii,drakthul,1218.8
125179086,Anietyx,blackrock,1363.2
244396684,Мурагор,soulflayer,1193.2
130875283,Lyïa,hyjal,1087.6
162817992,Элладир,howling-fjord,1345.3
104629302,Карвинн,howling-fjord,1221.5
90954620,Dairus,mannoroth,1367.2
157162805,Bloodnoób,kazzak,1156.5
158287162,Lyrazie,antonidas,1020.8
135709129,Galatena,blackrock,980.9
154057664,Malwéthiel,kirin-tor,1120.8
156222923,Civira,blackrock,1013.7
243437129,Рэнгг,gordunni,1117.1
156068439,Dosé,blackhand,1095.2
77003574,Ðassault,dun-modr,1153.4
94644508,Akenna,antonidas,1356.8
161702805,Terriblë,dun-modr,968.4
164152236,Dynamic,aszune,1180.5
166794767,Zuby,ravenholdt,1183.2
176006814,Mulder,korgall,1004.6
90161233,Fincent,malorne,1180.1
195622369,Líghtfòrged,silvermoon,1019.6
175305788,Covidor,arathi,1059.2
142525234,Sofex,outland,1137.8
142750102,Ihrim,dun-modr,1093.0
157065923,Lightcrusade,silvermoon,972.4
162135443,Orlíx,silvermoon,1040.5
168263219,Phocøeuse,hyjal,896.4
154395030,Tayluh,silvermoon,1212.6
180977913,Yarowit,silvermoon,1203.9
176191676,Матьглеба,howling-fjord,1091.5
120554741,Hearthledger,magtheridon,1235.7
209977712,Tésh,nagrand,994.7
72227975,Latchman,antonidas,959.0
64574861,Frozenhammer,area-52,808.0
176692133,Дайдаро,gordunni,833.1
178410573,Bøurinatør,hyjal,1011.3
161148152,Lightningloo,nozdormu,593.8
174826948,Ukki,die-aldor,1016.5
209918936,Ryerow,the-maelstrom,865.6
174152202,Казаняша,howling-fjord,1059.4
97113280,Mojoyc,antonidas,858.1
244157174,Рыцарищ,gordunni,736.9
177454696,Charlexavier,dalaran,1016.2
166721929,Trigeminus,blackmoore,828.5
68212026,Elhombre,nozdormu,889.8
154400148,Opajanni,ravencrest,1132.2
139168354,Нокний,howling-fjord,1059.2
158060255,Hellsong,kiljaeden,1013.1
172521527,Pakul,hyjal,725.2
243573459,Kabbus,sylvanas,830.9
101156497,Slink,garrosh,863.2
167997792,Майдмен,gordunni,689.6
157659003,Lenagercke,blackhand,881.9
174639430,Messer,bronze-dragonflight,625.7
159403342,Xasius,blackhand,909.6
143466983,Flyínghirsch,blackmoore,1499.3
187456315,Жоксс,gordunni,1229.4
247688319,Doomalke,hellfire,1311.7
143872038,Achïllès,blackrock,1367.3
186582396,Geemill,kazzak,1438.3
150496374,Rothgar,der-rat-von-dalaran,896.5
141445649,Adrianie,ysera,1296.9
164479772,Райтволл,howling-fjord,1528.6
107637729,Naarrã,ysondre,1309.8
197169175,Yûméko,hyjal,1309.8
82386110,Mortank,dun-modr,1110.6
134245080,Zedbug,spinebreaker,1358.1
165305474,Мэллфорс,soulflayer,1169.1
209826807,Шлипило,soulflayer,1181.0
161493499,Шеитан,gordunni,1006.6
137189961,Solnyshka,draenor,786.9
196653971,Ultimato,outland,1058.5
158089328,Anycon,malfurion,1015.4
180420766,Тивиар,gordunni,1128.8
177564688,Spirittrox,dalaran,918.3
152872192,Schmetandler,gilneas,952.8
183013498,Гидгуд,gordunni,1295.8
124637461,Thiran,garrosh,794.1
110138369,Kanjouka,ravencrest,809.3
195875692,Chilotzel,silvermoon,1013.9
208892419,Пендалин,gordunni,928.1
244553462,Лурэза,gordunni,788.2
73092666,Simplify,blackrock,1184.3
147981563,Kèrkos,blackmoore,1087.1
154362655,Dyrîos,antonidas,1359.7
108363025,Ceili,antonidas,966.9
111082658,Lîquitwalker,antonidas,1041.1
72667609,Йоказуна,goldrinn,859.8
85496336,Rambocactus,frostwolf,1161.3
82649630,Tesalion,blackhand,1225.6
96870096,Ymani,antonidas,806.4
168784801,Dween,dalaran,1126.3
98788169,Thalaric,blackhand,1164.3
166409004,Ilihirá,defias-brotherhood,1087.5
123218981,Solyn,pozzo-delleternità,959.7
39378309,Ледкс,howling-fjord,911.1
166902855,Jyn,ambossar,1050.2
197354836,Thobiias,kazzak,736.2
163109279,Joaxlol,draenor,1165.1
197308139,Cdurpal,archimonde,1295.5
195921039,Vilgford,hyjal,933.8
176449802,Waverly,arathi,664.8
129355671,Guztavo,thrall,1179.4
99252603,Angèlus,antonidas,509.7
125827280,Kazakov,dun-modr,920.8
163445029,Dejá,senjin,826.4
107147012,Bratrel,antonidas,1053.4
153850964,Gèrin,malganis,943.3
101312093,Wackas,khaz-modan,922.8
172102928,Франчулли,gordunni,842.7
172940547,Mufti,ragnaros,955.6
134022315,Гостерман,galakrond,1065.7
166027883,Steelysteve,tarren-mill,1137.6
181946047,Сэйшелка,soulflayer,893.6
153820510,Ouchpala,doomhammer,768.5
68326426,Kenpatsi,ravencrest,354.1
147870454,Hêkthor,blackmoore,630.8
147932016,Charger,stormrage,791.3
244685404,Маттэус,gordunni,836.9
167495126,Paladinator,thrall,610.7
81738937,Babofrau,arthas,857.1
161146525,Pikex,draenor,821.3
68805977,Tigerlover,shattrath,808.4
65816846,Ñorm,nerzhul,882.5
69341530,Sutario,shattrath,733.0
40577933,Myndra,anetheron,797.7
149909347,Kigomai,elune,856.9
197612454,Heimir,kazzak,1268.0
132889147,Geart,wildhammer,1550.3
113620817,Cykapala,ravencrest,1691.1
166437085,Bajker,defias-brotherhood,1120.7
157402332,Kiruan,tarren-mill,1207.8
166592247,Donkki,stormreaver,1302.6
170229125,Элитныи,gordunni,1329.2
136896673,Alcatrazz,blackrock,1023.4
95467380,Palacorro,twisting-nether,1125.3
113036424,Morsatra,pozzo-delleternità,1159.5
144047958,Ryutai,blackrock,1107.3
183571804,Akéchi,hyjal,985.8
73037576,Vick,blackmoore,1064.8
166450550,Arratius,blackmoore,1079.9
245744753,Милириум,gordunni,1025.9
148556259,Elvandara,blackmoore,1049.2
