profile.id,profile.name,profile.realm.slug,specialization.id,faction.type
166521112,Valkanovic,blackrock,66,HORDE
113620817,Cykapala,ravencrest,66,ALLIANCE
122741376,Zlmah,draenor,66,HORDE
78845600,Ruael,das-syndikat,66,ALLIANCE
114336886,Vanlor,eredar,66,HORDE
72127526,Lichtflummî,antonidas,66,ALLIANCE
163405904,Fløy,draenor,66,HORDE
116460437,Felizifa,blackhand,66,HORDE
165147471,Maxbaby,dalaran,66,ALLIANCE
91453072,Omèn,blackhand,66,HORDE
174350987,Lowlord,silvermoon,66,ALLIANCE
165793821,Oldmanslagn,argent-dawn,66,ALLIANCE
157999360,Meanor,die-silberne-hand,66,ALLIANCE
180109619,Yaminosenshi,hellfire,66,ALLIANCE
93030662,Walor,ysondre,66,HORDE
167482499,Xæatwelve,blackmoore,66,HORDE
134791701,Dinnadan,burning-legion,66,HORDE
197372769,Bravehearrt,silvermoon,66,ALLIANCE
156366122,Ezmpluspala,blackhand,66,HORDE
136601841,Masari,kult-der-verdammten,66,HORDE
193746349,Keppa,hyjal,66,HORDE
175395828,Churumlight,sanguino,66,HORDE
111135416,Lennáx,aegwynn,66,ALLIANCE
156772220,Thaddeus,die-silberne-hand,66,ALLIANCE
19212368,Belfer,scarshield-legion,66,HORDE
117031845,Sennaj,frostwolf,66,HORDE
162806395,Poukiwhite,culte-de-la-rive-noire,66,HORDE
111985644,Houdoor,ravencrest,66,ALLIANCE
242698757,Нэнимэ,soulflayer,66,HORDE
99649571,Алярм,howling-fjord,66,HORDE
153490719,Tatiyani,twisting-nether,66,HORDE
176648432,Pavema,neptulon,66,ALLIANCE
107271066,Twardziejszy,ravencrest,66,ALLIANCE
165768825,Rottedskin,thrall,66,HORDE
179753379,Сендила,gordunni,66,ALLIANCE
166502045,Fæ,die-todeskrallen,66,HORDE
161175764,Orsola,garrosh,66,ALLIANCE
105079508,Ilonura,dethecus,66,HORDE
83818686,Xylîne,blackhand,66,HORDE
150726460,Drakasgueule,dalaran,66,ALLIANCE
109751339,Boëndall,antonidas,66,ALLIANCE
167570758,Domas,die-todeskrallen,66,ALLIANCE
166794680,Xwhité,kult-der-verdammten,66,HORDE
158031357,Ommespommes,antonidas,66,ALLIANCE
208307745,Silverdawn,runetotem,66,ALLIANCE
167291782,Sèrum,blackmoore,66,ALLIANCE
154429221,Rein,antonidas,66,ALLIANCE
