,profile.name,profile.realm.slug,specialization.id
1,Dradestor,colinas-pardas,66
0,Pinpar,los-errantes,66
1,Crael,hyjal,66
0,Matelina,sanguino,66
0,Boldaro,arathor,66
0,Tyark,eredar,66
0,Pâblor,cthun,66
2,Kathos,tarren-mill,66
4,Cathedagny,silvermoon,66
0,Gumgum,arygos,66
2,Torkas,alleria,66
4,Пашаиндахаус,gordunni,66
0,Артантас,gordunni,66
3,Tánkérz,hellscream,66
4,Autismmeistr,ravencrest,66
3,Holycabby,teldrassil,66
1,Mëlk,tyrande,66
4,Silverdawn,runetotem,66
4,Blastnkill,silvermoon,66
0,Энти,soulflayer,66
0,Chilotzel,silvermoon,66
4,Kiritio,los-errantes,66
3,Thenoh,antonidas,66
1,Biimette,hyjal,66
1,Pliszken,silvermoon,66
3,Yael,kilrogg,66
0,Bakhos,ysondre,66
0,Wörth,tyrande,66
1,Shuiwang,outland,66
3,Webpack,argent-dawn,66
0,Мх,gordunni,66
4,Ланнкастер,fordragon,66
3,Pornggers,ragnaros,66
0,Höfi,alleria,66
3,Alesh,pozzo-delleternità,66
1,Чухландок,gordunni,66
3,Бладрус,blackscar,66
1,Ule,archimonde,66
1,Rév,hellfire,66
3,Buruthor,tyrande,66
2,Holyera,silvermoon,66
3,Noobieme,draenor,66
4,Salvara,thrall,66
3,Tarayilli,magtheridon,66
4,Ghordon,tyrande,66
4,Stygïa,hyjal,66
4,Uan,tyrande,66
3,Lonidard,pozzo-delleternità,66
2,Сирвалиус,gordunni,66
2,Talassiah,pozzo-delleternità,66
3,Svjatlana,draenor,66
1,Shifticus,nordrassil,66
3,Harbinjer,ravencrest,66
3,Bragi,aggramar,66
3,Fahunio,burning-legion,66
3,Gilthia,silvermoon,66
0,Barthelemy,argent-dawn,66
1,Héalyourself,kazzak,66
1,Powerofheal,lightbringer,66
2,Chrainn,argent-dawn,66
0,Arzhat,tyrande,66
1,Zzwarlordzz,tyrande,66
0,Potniss,outland,66
4,Nutrition,dragonblight,66
4,Palinei,ravencrest,66
0,Valarion,tyrande,66
4,Nazgulholy,ravencrest,66
2,Tïtàn,dun-modr,66
1,Virtue,kilrogg,66
2,Xzavier,sylvanas,66
2,Palyputs,tarren-mill,66
4,Lonothar,tyrande,66
0,Dröwn,tyrande,66
4,Naelius,tyrande,66
4,Palkata,kazzak,66
0,Фароза,gordunni,66
3,Jayti,arygos,66
2,Светопаляет,gordunni,66
1,Ophília,colinas-pardas,66
2,Houben,outland,66
0,Panfry,exodar,66
4,Aszhu,dun-modr,66
4,Обжарка,ashenvale,66
0,Yósi,colinas-pardas,66
4,Bóromír,los-errantes,66
4,Moradym,tyrande,66
4,Srmijä,dun-modr,66
0,Hepulidin,stormreaver,66
3,Silvercito,dun-modr,66
0,Naarushen,ysera,66
3,Kezhio,colinas-pardas,66
0,Akâme,colinas-pardas,66
2,Sëron,tyrande,66
4,Norlum,tyrande,66
3,Reløx,twisting-nether,66
0,Garthcrazy,los-errantes,66
2,Пронъка,gordunni,66
3,Shei,eitrigg,66
4,Fàlk,antonidas,66
4,Cykapala,ravencrest,66
4,Ursegor,ravencrest,66
3,Inyaface,zuljin,66
0,Look,throkferoth,66
3,Arkar,dalaran,66
1,Pavema,neptulon,66
3,Лайтревендж,gordunni,66
3,Lèontas,silvermoon,66
1,Náthi,dun-modr,66
1,Nilythira,argent-dawn,66
0,Ignispetram,ravencrest,66
3,Lomu,silvermoon,66
0,Yunica,ysondre,66
4,Dhonovhan,silvermoon,66
2,Малхит,soulflayer,66
0,Aelmarr,zuljin,66
4,Coobio,silvermoon,66
3,Kiroo,neptulon,66
1,Rommanos,ravencrest,66
1,Chintari,shattrath,66
2,Zoolia,hyjal,66
2,Anjelin,kazzak,66
0,Houdoor,ravencrest,66
1,Awakë,dun-modr,66
4,Ocympia,silvermoon,66
4,Зеддег,blackscar,66
0,Крохур,howling-fjord,66
4,Mugzimus,stormscale,66
4,Amnèsiá,hyjal,66
1,Ràyzèr,antonidas,66
3,Milakünis,ravencrest,66
2,Bòromìr,silvermoon,66
2,Cangurón,dun-modr,66
4,Духов,gordunni,66
4,Opticazar,silvermoon,66
4,Jacqy,hyjal,66
1,Éh,la-croisade-écarlate,66
4,Asfixiofilia,sanguino,66
4,Hendrickz,sylvanas,66
2,Kuo,turalyon,66
4,Lesure,kul-tiras,66
3,Pëpe,los-errantes,66
2,Arthàmiel,uldaman,66
2,Weinbaron,malfurion,66
2,Айхо,soulflayer,66
0,Athamon,dun-modr,66
3,Holytusk,dentarg,66
0,Darpa,twisting-nether,66
2,Quickdráw,kazzak,66
0,Cyndera,antonidas,66
3,Peychü,colinas-pardas,66
1,Пинкфил,ashenvale,66
1,Atracador,dun-modr,66
1,Evilbirdie,sylvanas,66
2,Røland,tyrande,66
3,Ларкер,thermaplugg,66
1,Vödkä,tyrande,66
0,Shívas,tyrande,66
2,Tichons,tyrande,66
0,Тейлорин,gordunni,66
4,Hiera,earthen-ring,66
0,Dvetrista,outland,66
0,Boowty,uldaman,66
2,Hitmankill,tirion,66
2,Exeter,tyrande,66
3,Калбасня,gordunni,66
