,profile.name,profile.realm.slug,specialization.id
3,Сейвзона,soulflayer,66
2,Руньён,galakrond,66
2,Динадин,gordunni,66
2,Whimsy,burning-legion,66
4,Вайнрих,galakrond,66
0,Панактото,gordunni,66
4,Антикус,soulflayer,66
1,Святошадэн,galakrond,66
0,Лайтмен,azuregos,66
1,Роэн,galakrond,66
2,Айвишпал,galakrond,66
1,Розовыйщит,howling-fjord,66
1,Вузид,galakrond,66
2,Kassor,ysondre,66
2,Фрига,galakrond,66
1,Oberkommando,sanguino,66
4,Zanzir,magtheridon,66
1,Aurelys,tarren-mill,66
3,Ринолай,deepholm,66
0,Рахэль,howling-fjord,66
0,Erotikuss,aegwynn,66
4,Наиксикс,galakrond,66
0,Карвинн,howling-fjord,66
3,Любомур,galakrond,66
3,Аутича,gordunni,66
4,Yeeta,silvermoon,66
0,Максфрай,howling-fjord,66
0,Squibie,silvermoon,66
0,Calypox,alexstrasza,66
3,Гангарт,galakrond,66
4,Spankádin,draenor,66
3,Solotyr,hyjal,66
1,Тээс,gordunni,66
0,Äzulà,hyjal,66
1,Светлаятень,gordunni,66
4,Nightspirit,nemesis,66
1,Овейт,gordunni,66
4,Одикон,galakrond,66
0,Икугу,galakrond,66
4,Дедстобед,galakrond,66
0,Херлбой,galakrond,66
1,Хм,razuvious,66
1,Десслайт,gordunni,66
0,Церейрус,gordunni,66
0,Бабблодин,deepholm,66
3,Primaldeath,garona,66
0,Иакс,gordunni,66
1,Ревген,galakrond,66
0,Шепоткрови,howling-fjord,66
4,Ддоменщик,gordunni,66
3,Афисто,galakrond,66
0,Хампи,howling-fjord,66
3,Adke,argent-dawn,66
1,Cangurón,dun-modr,66
1,Auxarius,defias-brotherhood,66
3,Rankoneordie,draenor,66
3,Дикобраазз,eversong,66
0,Auera,sylvanas,66
1,Morgenkoger,silvermoon,66
4,Asphodel,burning-legion,66
1,Dermatoss,blackrock,66
0,Киирраа,gordunni,66
2,Торчулан,howling-fjord,66
3,Элламет,galakrond,66
1,Дарквей,galakrond,66
4,Craackk,antonidas,66
2,Реолка,gordunni,66
0,Artamiel,les-sentinelles,66
3,Arratius,blackmoore,66
0,Enimya,draenor,66
0,Мэдтофик,razuvious,66
2,Lojzo,deathwing,66
2,Cctheshades,kazzak,66
0,Nøïzy,archimonde,66
2,Втсбабл,gordunni,66
0,Шокирую,borean-tundra,66
2,Anyvile,antonidas,66
1,Арналадон,eversong,66
2,Куплюгараж,azuregos,66
1,Raíjin,dalaran,66
4,Supermon,argent-dawn,66
4,Herkuluni,ravencrest,66
1,Неонко,howling-fjord,66
3,Вогон,galakrond,66
0,Juramentada,exodar,66
2,Элхан,deepholm,66
1,Råre,draenor,66
2,Fistingood,silvermoon,66
2,Артемониус,gordunni,66
3,Тяжесть,galakrond,66
2,Yohance,uldum,66
2,Фарисс,galakrond,66
4,Паларон,howling-fjord,66
1,Атрэас,galakrond,66
1,Дхоатеус,soulflayer,66
0,Ксандеркейдж,howling-fjord,66
3,Serokras,blackmoore,66
2,Андуралус,gordunni,66
0,Медаяз,gordunni,66
0,Pomfritzel,silvermoon,66
4,Tindertank,twisting-nether,66
2,Exidion,sylvanas,66
3,Банчи,razuvious,66
0,Lukepxd,ragnaros,66
0,Alienx,kazzak,66
4,Deviouslight,drakthul,66
3,Caseryss,arathor,66
3,Gongarvi,dun-modr,66
0,Тащисюдаеё,soulflayer,66
1,Хулиганчегк,soulflayer,66
0,Святоушлёпок,soulflayer,66
1,Разбер,gordunni,66
4,Ариатик,soulflayer,66
4,Пиксельшторм,razuvious,66
