,profile.name,profile.realm.slug,specialization.id
4,Tirha,dun-morogh,66
3,Heartfilia,norgannon,66
2,Adke,argent-dawn,66
0,Rosspaladin,draenor,66
3,Crithias,dun-morogh,66
0,Grendizer,ragnaros,66
4,Arthmenthil,archimonde,66
1,Imperas,dun-morogh,66
2,Deviouslight,drakthul,66
0,Plambi,burning-legion,66
2,Теемный,gordunni,66
4,Дредстар,fordragon,66
0,Luhvenn,ysondre,66
3,Biosync,ravencrest,66
4,Ishtazmo,kazzak,66
1,Buidsear,blackmoore,66
3,Khoecoski,nemesis,66
3,Avyur,blackmoore,66
3,Valheera,blackmoore,66
3,Xasil,blackmoore,66
4,Hólyshet,tarren-mill,66
0,Yül,twisting-nether,66
3,Педалируем,soulflayer,66
0,Zaos,aegwynn,66
0,Allmine,tarren-mill,66
4,Torkas,alleria,66
2,Djenki,dalaran,66
2,Làzarùs,thrall,66
2,Darkfellix,aggra-português,66
4,Aradax,antonidas,66
0,Легардо,gordunni,66
1,Ethakor,ysondre,66
4,Muuhhskete,norgannon,66
4,Helmhut,dun-morogh,66
4,Kagep,burning-legion,66
2,Astreol,dun-morogh,66
1,Acidish,ravencrest,66
0,Scoxx,twilights-hammer,66
2,Goldlight,hyjal,66
2,Kenra,dun-morogh,66
4,Крэндли,blackscar,66
4,Nikkipala,kazzak,66
4,Uun,dun-morogh,66
1,Bilyalovà,archimonde,66
2,Misiraa,antonidas,66
4,Cyruz,eonar,66
0,Âlandra,dun-morogh,66
1,Snutzler,aegwynn,66
1,Lociina,terokkar,66
4,Chubacker,norgannon,66
4,Zhakii,alleria,66
3,Ikumano,norgannon,66
2,Kayneen,arygos,66
4,Boëndall,antonidas,66
3,Kiith,silvermoon,66
2,Dizzlybubele,antonidas,66
3,Baat,malganis,66
3,Rezzurection,archimonde,66
4,Jyn,ambossar,66
3,Zilvari,silvermoon,66
1,Leichtsinnig,dun-morogh,66
2,Ariës,dun-morogh,66
2,Tacobubble,sylvanas,66
2,Boennliu,dun-morogh,66
1,Xentorium,blackrock,66
3,Kwannuii,norgannon,66
1,Injo,twisting-nether,66
4,Ryutai,blackrock,66
3,Bügelschloss,blackmoore,66
0,Líonia,blackmoore,66
1,Zahnfleisch,blackmoore,66
1,Icarius,kirin-tor,66
2,Ulatempa,silvermoon,66
2,Pyt,frostwolf,66
0,Worpax,spinebreaker,66
3,Николяслуцк,eversong,66
1,Antenna,twisting-nether,66
0,Tiperz,dun-morogh,66
1,Анфет,gordunni,66
1,Achsios,dun-morogh,66
