profile.id,profile.name,profile.realm.slug,specialization.id,faction.type
132665921,Loládin,azuremyst,66,HORDE
41056082,Loker,auchindoun,66,ALLIANCE
137831375,Hashcat,defias-brotherhood,66,ALLIANCE
158514024,Tankilicous,antonidas,66,ALLIANCE
108995357,Garantine,stormrage,66,ALLIANCE
114556606,Shawney,stormrage,66,ALLIANCE
144827018,Paladijntje,stormrage,66,HORDE
124366429,Loveliest,stormrage,66,HORDE
135330361,Racduck,dunemaul,66,ALLIANCE
163224163,Радостьмоя,gordunni,66,ALLIANCE
67125931,Bubblefurby,blackmoore,66,ALLIANCE
93089091,Eliminato,stormrage,66,HORDE
140827443,Dârvan,blackmoore,66,ALLIANCE
75165662,Fnatix,kazzak,66,HORDE
122605136,Sentênce,varimathras,66,ALLIANCE
165287936,Holzkûh,blackmoore,66,ALLIANCE
94546139,Josdepaladin,emerald-dream,66,ALLIANCE
63500647,Salyx,outland,66,HORDE
156259196,Shuiwang,outland,66,ALLIANCE
117146148,Kardasi,ravencrest,66,ALLIANCE
181516467,Князьгриб,gordunni,66,ALLIANCE
185362806,Yuln,hyjal,66,ALLIANCE
109241975,Jmmh,frostwhisper,66,HORDE
237886091,Hamsandwich,ghostlands,66,ALLIANCE
123868237,Saala,magtheridon,66,ALLIANCE
151796251,Pazindör,burning-legion,66,ALLIANCE
111985644,Houdoor,ravencrest,66,ALLIANCE
168194982,Grovaro,blackmoore,66,ALLIANCE
165361128,Áydan,stormrage,66,ALLIANCE
146654422,Socío,stormrage,66,HORDE
113463618,Macawésome,twisting-nether,66,HORDE
155434096,Паладиннер,eversong,66,ALLIANCE
122174118,Dalt,anachronos,66,ALLIANCE
196338188,Смертоносный,ashenvale,66,ALLIANCE
156967572,Elmartopilon,magtheridon,66,ALLIANCE
245226697,Kazenlshka,the-maelstrom,66,ALLIANCE
192525940,Drwilliam,kazzak,66,HORDE
158103307,Tasalah,stormrage,66,HORDE
140358658,Behul,sporeggar,66,ALLIANCE
79069719,Skioeskao,nemesis,66,ALLIANCE
160425231,Koridormi,stormrage,66,ALLIANCE
93928802,Falgar,stormrage,66,ALLIANCE
186403626,Azylex,hyjal,66,ALLIANCE
242084303,Мх,gordunni,66,ALLIANCE
148669934,Koyash,blackmoore,66,ALLIANCE
119587147,Allenaa,thunderhorn,66,ALLIANCE
156588818,Eifle,ravencrest,66,ALLIANCE
144961293,Grandstorm,stormrage,66,ALLIANCE
147932016,Charger,stormrage,66,ALLIANCE
193962498,Zarothian,silvermoon,66,HORDE
188551148,Shinychic,silvermoon,66,ALLIANCE
20764750,Menzov,khadgar,66,ALLIANCE
135645123,Narla,stormrage,66,ALLIANCE
136530727,Naelius,tyrande,66,ALLIANCE
161671342,Orvald,eitrigg,66,ALLIANCE
154606033,Tenorí,ravencrest,66,ALLIANCE
114541149,Arthnoc,azuremyst,66,ALLIANCE
93958393,Armantor,stormrage,66,ALLIANCE
45422692,Богал,azuregos,66,ALLIANCE
101901590,Althoras,defias-brotherhood,66,ALLIANCE
146463688,Dewitt,blackmoore,66,ALLIANCE
193444166,Grintri,silvermoon,66,ALLIANCE
89908022,Sashs,dalaran,66,ALLIANCE
71022135,Dalicia,outland,66,ALLIANCE
104544605,Bubblégúm,ravencrest,66,ALLIANCE
155338666,Caydo,ravencrest,66,ALLIANCE
176186888,Senatos,silvermoon,66,ALLIANCE
128017736,Эмбердин,galakrond,66,ALLIANCE
175591988,Kleim,dun-modr,66,ALLIANCE
194270639,Kicklock,silvermoon,66,ALLIANCE
93348370,Theblacko,stormrage,66,ALLIANCE
146960570,Tolaras,stormrage,66,ALLIANCE
196959635,Aegisnick,silvermoon,66,ALLIANCE
184124373,Foretold,outland,66,ALLIANCE
160016812,Hepu,kirin-tor,66,ALLIANCE
93906817,Thôr,stormrage,66,ALLIANCE
120035673,Whitemoist,outland,66,ALLIANCE
136030300,Benôn,blackmoore,66,ALLIANCE
161561608,Kivers,draenor,66,HORDE
155356131,Holypepeg,ravencrest,66,ALLIANCE
93617615,Sephire,stormrage,66,HORDE
104168750,Sunstar,talnivarr,66,ALLIANCE
162955478,Adell,azshara,66,HORDE
136273362,Arakawa,drakthul,66,ALLIANCE
40558377,Týr,marécage-de-zangar,66,ALLIANCE
174391615,Hørion,khaz-modan,66,HORDE
