,profile.name,profile.realm.slug,specialization.id
4,Злойлёха,howling-fjord,66
4,Hêizën,marécage-de-zangar,66
1,Дэно,fordragon,66
4,Skilazz,doomhammer,66
4,Rîkkü,ysondre,66
0,Десперайт,gordunni,66
1,Оливьешька,deathguard,66
2,Тоенак,deathguard,66
4,Angeil,dun-modr,66
4,Фрига,galakrond,66
0,Duthoren,silvermoon,66
1,Ràgnarok,khadgar,66
4,Candus,draenor,66
4,Vuzal,blackrock,66
4,Warlórd,stormscale,66
2,Arratius,blackmoore,66
0,Probold,blackmoore,66
4,Larxx,zenedar,66
1,Коданс,howling-fjord,66
4,Tésh,nagrand,66
0,Хелзеферс,gordunni,66
1,Dràgoneyes,tarren-mill,66
3,Тээс,gordunni,66
4,Тэриа,gordunni,66
0,Indjanac,tarren-mill,66
4,Церейрус,gordunni,66
2,Тыбыканул,deathguard,66
3,Trunkjunk,silvermoon,66
4,Sacramentum,defias-brotherhood,66
2,Рэнгг,gordunni,66
1,Ноадэ,eversong,66
4,Одикон,galakrond,66
2,Нетвоидень,deathguard,66
2,Cdurpal,archimonde,66
3,Падва,lich-king,66
2,Джессрабит,soulflayer,66
0,Алёнадуротар,deathguard,66
0,Airscape,draenor,66
4,Аймай,deathguard,66
0,Злодеятель,gordunni,66
0,Айлав,deathguard,66
3,Почешиманту,howling-fjord,66
0,Lukipala,blackmoore,66
1,Sophiä,kirin-tor,66
3,Рэванна,gordunni,66
3,Chatthon,ysondre,66
2,Стопля,gordunni,66
0,Yesiqa,kazzak,66
1,Villentreten,burning-legion,66
0,Кеейс,deathguard,66
2,Мишаефремов,azuregos,66
3,Лукумия,soulflayer,66
0,Pöweroflove,zuljin,66
0,Nolthee,ragnaros,66
1,Solidknight,kazzak,66
1,Сомир,gordunni,66
0,Стассен,eversong,66
1,Лугриен,howling-fjord,66
0,Рэйнметалл,deathguard,66
1,Chikameluz,ysondre,66
0,Bügelschloss,blackmoore,66
0,Рыцарищ,gordunni,66
