,profile.name,profile.realm.slug,specialization.id
1,Sebpala,kazzak,66
1,Kisassi,sargeras,66
0,Тесей,howling-fjord,66
1,Palrahz,archimonde,66
1,Notjcdlz,ysondre,66
4,Ephalistos,sargeras,66
2,Holyrayén,blackrock,66
1,Sinjastral,archimonde,66
0,Nurofenis,hyjal,66
4,Leemoon,hyjal,66
1,Kridx,sargeras,66
2,Blahblahdin,kazzak,66
1,Irônbreaker,frostwolf,66
2,Babanji,kazzak,66
3,Diktrol,stormreaver,66
4,Primaldeath,garona,66
0,Lóde,silvermoon,66
1,Neozayeah,tarren-mill,66
2,Labuche,sargeras,66
0,Zieghh,sargeras,66
4,Nicu,tarren-mill,66
1,Agoora,kazzak,66
1,Milambher,sargeras,66
1,Понидоктор,howling-fjord,66
4,Swagimir,hyjal,66
2,Darkenlight,burning-legion,66
3,Vìzzer,burning-legion,66
2,Invi,ysondre,66
3,Twicks,sargeras,66
4,Skyyÿ,ysondre,66
1,Aeshan,kazzak,66
0,Käwotte,sargeras,66
4,Imoros,malfurion,66
0,Pericko,sanguino,66
3,Jouren,lightbringer,66
1,Byakuya,sargeras,66
2,Khartes,sargeras,66
2,Bacildaf,twisting-nether,66
3,Markelon,kazzak,66
2,Ondelia,hyjal,66
1,Chuipàlà,sargeras,66
2,Nydin,sargeras,66
3,Anlp,draenor,66
4,Mîchkê,garona,66
0,Zabarella,sargeras,66
4,Elundrïl,nerzhul,66
3,Purgé,kazzak,66
4,Miyaia,les-clairvoyants,66
2,Joâito,sargeras,66
0,Candyykush,ysondre,66
0,Zýlh,ysondre,66
4,Парломис,howling-fjord,66
2,Nlamlx,throkferoth,66
0,Амантир,howling-fjord,66
3,Grtsoghoot,tarren-mill,66
2,Oberkommando,sanguino,66
3,Serdan,daggerspine,66
0,Maxtorym,ravencrest,66
1,Alcøholy,kazzak,66
0,Odêns,antonidas,66
3,Targha,sargeras,66
0,Palädin,tarren-mill,66
2,Moterio,defias-brotherhood,66
1,Hilimor,hyjal,66
0,Noelle,sargeras,66
0,Cyrilla,garona,66
2,Enclade,sargeras,66
1,Скаллаг,gordunni,66
1,Gondår,sargeras,66
2,Unknownmad,kazzak,66
4,Sasolia,hyjal,66
1,Cóstin,kazzak,66
3,Ketha,zuljin,66
4,Skogìs,twisting-nether,66
4,Vayki,hyjal,66
4,Sythini,blackrock,66
2,Schafus,onyxia,66
4,Rohän,sanguino,66
3,Holygrizzly,blackmoore,66
0,Shár,twisting-nether,66
1,Pyörätuoli,stormscale,66
3,Negativedmg,kazzak,66
4,Labibubble,blackmoore,66
0,Stensture,kazzak,66
2,Тарлиф,soulflayer,66
0,Palaofchaos,kazzak,66
3,Maxdin,tarren-mill,66
0,Frepalä,sanguino,66
0,Crionen,magtheridon,66
3,Tuwas,blackrock,66
1,Azbøulette,archimonde,66
2,Varally,stormscale,66
0,Wakki,archimonde,66
1,Bighero,blackrock,66
2,Xonce,kazzak,66
0,Anthuriel,twisting-nether,66
3,Tweed,stormscale,66
3,Ineedyoudead,twisting-nether,66
3,Dynamic,aszune,66
3,Kuah,ragnaros,66
0,Homitu,eredar,66
3,Hitmeh,blackrock,66
4,Coronø,tarren-mill,66
2,Duttyslut,kazzak,66
3,Epicure,kazzak,66
2,Swixpink,sargeras,66
3,Playmobil,nerzhul,66
2,Torkrane,hyjal,66
4,Eizah,garona,66
0,Elora,tarren-mill,66
1,Shangøo,nerzhul,66
4,Gharash,sargeras,66
1,Paliçade,archimonde,66
1,Tryle,sargeras,66
0,Stenstake,stormscale,66
3,Фрига,galakrond,66
4,Hævñ,blackhand,66
3,Miniwolf,kazzak,66
3,Giònero,pozzo-delleternità,66
2,Agamenón,sanguino,66
0,Vraccas,garona,66
2,Zerooth,stormscale,66
2,Haartman,drakthul,66
3,Korogho,dalaran,66
1,Kaeliss,ysondre,66
1,Leothrayn,draenor,66
0,Святойгусь,howling-fjord,66
4,Yukehunt,kazzak,66
4,Ule,archimonde,66
0,Hanguiers,kazzak,66
0,Okompal,hyjal,66
0,Spøt,uldaman,66
1,Beluchi,blackhand,66
