,profile.name,profile.realm.slug,specialization.id
0,Marlinp,ravencrest,66
0,Hayfire,kilrogg,66
3,Merinicus,hellfire,66
2,Etienell,arathor,66
1,Goldanna,nagrand,66
0,Doomalke,hellfire,66
3,Clearlyfish,blackrock,66
3,Eliasér,zuljin,66
3,Elijahu,eredar,66
1,Gordain,malfurion,66
4,Thaladriana,aegwynn,66
2,Ravihn,the-shatar,66
2,Lomu,silvermoon,66
3,Lazerlight,antonidas,66
3,Patch,ravencrest,66
1,Marqo,outland,66
0,Tarieswolle,silvermoon,66
3,Jetsetter,draenor,66
1,Athoman,nagrand,66
4,Cardíak,eredar,66
0,Sleazý,ragnaros,66
3,Каэрвиль,azuregos,66
1,Boldaro,arathor,66
3,Aalmae,silvermoon,66
1,Axrey,silvermoon,66
3,Даренум,gordunni,66
1,Balor,frostwolf,66
2,Yaminosenshi,hellfire,66
0,Taichen,tarren-mill,66
1,Squall,zuluhed,66
2,Sauron,runetotem,66
2,Landro,antonidas,66
2,Jøhanna,arathor,66
3,Martturi,silvermoon,66
2,Lightbaker,arathor,66
4,Snapitz,ravencrest,66
1,Paladindværg,ravencrest,66
3,Stompalot,silvermoon,66
0,Морфеу,gordunni,66
2,Avyur,blackmoore,66
1,Angeil,dun-modr,66
3,Holypea,drakthul,66
4,Chatthon,ysondre,66
1,Lickmybubble,arathor,66
3,Tésh,nagrand,66
1,Ðarkz,twisting-nether,66
1,Spicyshøck,outland,66
4,Sanction,kilrogg,66
0,Ðuvel,antonidas,66
2,Kleidid,silvermoon,66
0,Wynell,arathor,66
3,Noelle,sargeras,66
0,Kazo,darksorrow,66
1,Zaos,aegwynn,66
4,Caseryss,arathor,66
4,Hamsandwich,ghostlands,66
4,Lithmare,hyjal,66
4,Holysoly,arathor,66
0,Левкофейа,eversong,66
2,Syalthiel,draenor,66
2,Arratius,blackmoore,66
3,Duriandyl,archimonde,66
4,Astarya,dun-modr,66
0,Salot,arathor,66
2,Netherlight,runetotem,66
4,Мх,gordunni,66
2,Silverdawn,runetotem,66
3,Хелзеферс,gordunni,66
0,Yael,kilrogg,66
0,Superkilos,ravencrest,66
4,Rèvè,tarren-mill,66
3,Terrycrews,shadowsong,66
4,Лайтревендж,gordunni,66
4,Ithildess,nagrand,66
2,Schultheiss,aegwynn,66
2,Stgotthard,ragnaros,66
4,Blizobot,arathor,66
4,Ascèse,culte-de-la-rive-noire,66
1,Grancigula,kazzak,66
1,Lolaadin,hellfire,66
4,Gonk,arathor,66
4,Idoc,sylvanas,66
4,Kuntá,tarren-mill,66
2,Kendisen,wildhammer,66
4,Akáý,antonidas,66
1,Lèontas,silvermoon,66
0,Houdoor,ravencrest,66
4,Lozi,bloodhoof,66
4,Kajsen,silvermoon,66
