,profile.name,profile.realm.slug,specialization.id
4,Muqqilight,blackhand,66
3,Steks,blades-edge,66
1,Blaiser,ravencrest,66
4,Lomu,silvermoon,66
3,Langi,lightnings-blade,66
2,Deltagoodrem,frostwhisper,66
1,Andgrod,minahonda,66
2,Valourholy,bronzebeard,66
1,Enhet,veknilash,66
2,Usqell,twisting-nether,66
1,Nepogen,ravencrest,66
0,Jippe,eonar,66
2,Догу,soulflayer,66
3,Inqerior,veknilash,66
3,Lisburn,eonar,66
3,Аулер,gordunni,66
0,Palasite,argent-dawn,66
3,Gumgum,arygos,66
1,Ikwel,blades-edge,66
4,Fezzen,argent-dawn,66
3,Dexas,frostwolf,66
2,Meanor,die-silberne-hand,66
4,Caess,ragnaros,66
3,Arnholdt,stormscale,66
1,Torvil,outland,66
2,Arthes,silvermoon,66
2,Rákscha,eredar,66
1,Zui,pozzo-delleternità,66
4,Holyshadôw,bronzebeard,66
2,Yaori,quelthalas,66
1,Ergard,the-maelstrom,66
2,Ulfine,blades-edge,66
3,Dyne,ravencrest,66
2,Snòrry,silvermoon,66
3,Superkilos,ravencrest,66
0,Kiroo,neptulon,66
1,Photosynthol,darksorrow,66
3,Bregolas,bronzebeard,66
4,Shanoa,dragonblight,66
0,Smö,suramar,66
0,Cyruz,eonar,66
0,Hôlyknight,ravencrest,66
2,Kodaly,veknilash,66
3,Dreanqua,ravencrest,66
3,Itakna,grim-batol,66
1,Lociina,terokkar,66
3,Entis,draenor,66
1,Duskstorm,kazzak,66
3,Schten,ravencrest,66
1,Hylo,veknilash,66
2,Beleobus,ravencrest,66
3,Skorcha,stormscale,66
1,Khàbib,hyjal,66
4,Ksksus,blackmoore,66
0,Elmartopilon,magtheridon,66
0,Ebaypurchase,bronzebeard,66
4,Salvara,thrall,66
1,Gradens,draenor,66
4,Holyknight,pozzo-delleternità,66
0,Därkisinme,blades-edge,66
3,Kaltenecker,kazzak,66
1,Cap,veknilash,66
4,Blameheáler,ragnaros,66
4,Ragz,eonar,66
3,Boeykep,silvermoon,66
4,Sophiä,kirin-tor,66
2,Xzavier,sylvanas,66
0,Dominanten,defias-brotherhood,66
3,Naffalem,frostwolf,66
3,Bobygdapala,ravencrest,66
3,Cosy,argent-dawn,66
0,Tajak,azjolnerub,66
4,Стассен,eversong,66
4,Fahunio,burning-legion,66
4,Aleeah,blackrock,66
1,Cöökie,bronzebeard,66
4,Melvina,blades-edge,66
4,Drovakin,silvermoon,66
3,Kendisen,wildhammer,66
3,Chottodir,burning-blade,66
3,Currydips,veknilash,66
1,Siyee,hyjal,66
4,Girl,veknilash,66
2,Snajperable,burning-legion,66
2,Joukeri,outland,66
4,Noxilicious,kazzak,66
1,Hola,turalyon,66
1,Pezrael,blades-edge,66
0,Stanks,hyjal,66
2,Karakros,chamber-of-aspects,66
1,Kondenzi,drakthul,66
3,Arbeedark,bronzebeard,66
1,Олдскулло,gordunni,66
4,Bräum,aerie-peak,66
3,Sathak,outland,66
2,Beefyguy,ragnaros,66
2,Обжарка,ashenvale,66
2,Hekkat,nemesis,66
0,Smeerlap,shattered-hand,66
3,Whatthefock,outland,66
2,Shiccu,antonidas,66
2,Numenor,lothar,66
3,Stainer,ragnaros,66
2,Owocek,veknilash,66
2,Doktorek,blades-edge,66
0,Callian,twisting-nether,66
1,Lèontas,silvermoon,66
3,Yöda,die-aldor,66
4,Kuldora,auchindoun,66
1,Exordi,burning-blade,66
4,Rinnon,silvermoon,66
4,Chelleo,tarren-mill,66
4,Giantpally,bronzebeard,66
4,Реалтопорица,eversong,66
2,Relbena,argent-dawn,66
4,Storkan,la-croisade-écarlate,66
2,Rhiladon,bronzebeard,66
4,Imslapyo,bronzebeard,66
0,Gamoto,grim-batol,66
4,Ragaa,archimonde,66
0,Òlemann,outland,66
0,Hhygie,archimonde,66
4,Proudhammer,draenor,66
1,Icarius,kirin-tor,66
4,Païllässon,dalaran,66
0,Stoki,twisting-nether,66
4,Liâdrin,drakthul,66
1,Aalmae,silvermoon,66
3,Kyndmryn,nemesis,66
3,Wipepower,ravencrest,66
1,Typos,lothar,66
4,Nightspirit,nemesis,66
3,Shivah,ravencrest,66
3,Ursegor,ravencrest,66
0,Rökengooz,sylvanas,66
4,Ддоменщик,gordunni,66
4,Semenisinne,darksorrow,66
3,Iartemisl,kazzak,66
4,Sergentxedge,eonar,66
0,Thaluun,sylvanas,66
2,Pßý,nefarian,66
0,Harcante,hyjal,66
2,Sayania,burning-legion,66
0,Zerothen,zuljin,66
2,Nyoromo,elune,66
0,Lustucrü,archimonde,66
1,Agresor,kazzak,66
1,Çíra,tarren-mill,66
2,Ulfinqp,archimonde,66
1,Tayluh,silvermoon,66
0,Autismmeistr,ravencrest,66
2,Uzemnovac,magtheridon,66
1,Tongii,tarren-mill,66
2,Eloelle,argent-dawn,66
2,Josslan,arthas,66
0,Tsumugari,sylvanas,66
1,Palladin,outland,66
3,Chewba,voljin,66
4,Belinarada,ragnaros,66
2,Holypala,sylvanas,66
2,Houdoor,ravencrest,66
0,Lesure,kul-tiras,66
1,Valentianux,ravencrest,66
4,Аффирелиайни,gordunni,66
1,Epithimia,sylvanas,66
4,Acrome,dun-modr,66
4,Faler,bronzebeard,66
2,Deathsfate,eonar,66
2,Fueltoalibi,aerie-peak,66
4,Mediumboyo,doomhammer,66
2,Mandafix,aerie-peak,66
0,Bödel,stormscale,66
3,Mandie,sylvanas,66
1,Depala,aerie-peak,66
0,Divinevigour,outland,66
1,Разведкабоем,eversong,66
4,Melectaus,twisting-nether,66
4,Terrycrews,shadowsong,66
1,Mahlac,dun-modr,66
1,Yrél,eonar,66
4,Arthuss,eonar,66
1,Soilse,aerie-peak,66
0,Holjin,bronzebeard,66
3,Marysiaa,bronzebeard,66
2,Клыксвета,howling-fjord,66
0,Bigboy,aerie-peak,66
0,Khkh,draenor,66
2,Jénova,silvermoon,66
0,Arimis,silvermoon,66
4,Rikkum,frostwolf,66
0,Híxpano,zuljin,66
3,Sephran,quelthalas,66
2,Wørmstar,ragnaros,66
2,Guilter,bronzebeard,66
2,Hieronymus,aerie-peak,66
4,Marley,dun-morogh,66
4,Gullebjörn,twisting-nether,66
2,Caemlyne,argent-dawn,66
4,Echnatón,teldrassil,66
0,Thaladan,der-mithrilorden,66
0,Dræko,draenor,66
0,Isäak,krasus,66
3,Mobiwan,aerie-peak,66
3,Mísakî,aegwynn,66
3,Inferor,ravencrest,66
1,Рифия,borean-tundra,66
0,Shighney,magtheridon,66
1,Aneera,blackhand,66
3,Estamel,sylvanas,66
0,Kyorio,alleria,66
4,Saisadin,aerie-peak,66
1,Zeida,eonar,66
1,Cieya,kazzak,66
3,Mentalberoz,silvermoon,66
2,Кофедарк,soulflayer,66
4,Thormeister,blackhand,66
0,Klauslicious,frostmane,66
4,Tiëst,blades-edge,66
