,profile.name,profile.realm.slug,specialization.id
2,Bigcheat,elune,66
0,Kotowate,frostmane,66
1,Jigsaaw,amanthul,66
1,Verac,kilrogg,66
0,Криштабелла,gordunni,66
4,Constcast,silvermoon,66
1,Пажилойкраб,gordunni,66
3,Citty,die-aldor,66
2,Cycator,suramar,66
0,Âdam,sylvanas,66
3,Luckyman,sylvanas,66
1,Alandor,dalaran,66
2,Notlob,twisting-nether,66
1,Бромощь,eversong,66
1,Кракберри,gordunni,66
3,Gonat,kirin-tor,66
1,Clodosacré,hyjal,66
2,Cheelsea,twisting-nether,66
2,Valliana,arakarahm,66
0,Ryru,hyjal,66
3,Alphakènyoné,thrall,66
1,Crôutasse,dalaran,66
2,Tilikum,blackmoore,66
1,Delayer,azshara,66
2,Visenya,archimonde,66
0,Nerithium,argent-dawn,66
0,Belgarath,medivh,66
2,Silvershield,medivh,66
2,Penný,frostwhisper,66
1,Gylden,argent-dawn,66
2,Neithana,suramar,66
2,Chrønøs,quelthalas,66
0,Perciville,ravenholdt,66
3,Гретхарт,grom,66
3,Rexye,pozzo-delleternità,66
1,Gusti,hyjal,66
1,Malisin,die-ewige-wacht,66
0,Миланиий,blackscar,66
0,Psydoorf,burning-legion,66
3,Lakoss,hyjal,66
2,Sílvër,colinas-pardas,66
3,Alicsa,teldrassil,66
2,Naylën,medivh,66
0,Каризма,azuregos,66
3,Reallyoldman,kul-tiras,66
2,Begor,nozdormu,66
4,Bifor,runetotem,66
1,Yenz,outland,66
0,Telperion,conseil-des-ombres,66
3,Perlite,conseil-des-ombres,66
3,Matelina,sanguino,66
2,Talang,tarren-mill,66
2,Shivah,ravencrest,66
4,Mxavenger,hyjal,66
4,Ivs,stormscale,66
4,Nifa,blackrock,66
3,Просторожки,gordunni,66
1,Nimadin,doomhammer,66
3,Ayven,dalaran,66
0,Dodipala,antonidas,66
1,Falixix,la-croisade-écarlate,66
0,Котанскии,gordunni,66
3,Cøcquibus,hyjal,66
4,Home,suramar,66
1,Glybof,dalaran,66
4,Epicmaker,silvermoon,66
2,Saltyarmpit,wildhammer,66
1,Profi,lordaeron,66
4,Bubblefurby,blackmoore,66
3,Anajinn,pozzo-delleternità,66
3,Gris,kirin-tor,66
4,Zajfer,outland,66
3,Namisama,skullcrusher,66
0,Uzemnovac,magtheridon,66
4,Нийонара,gordunni,66
1,Senio,medivh,66
4,Angaráto,gilneas,66
1,Арроя,fordragon,66
0,Halahk,grim-batol,66
4,Cerbérus,archimonde,66
0,Izir,silvermoon,66
0,Manalakh,medivh,66
4,Acidish,ravencrest,66
0,Xïialla,ysondre,66
2,Kezhio,colinas-pardas,66
3,Léópárdtánk,silvermoon,66
4,Kyrenna,elune,66
1,Ukki,die-aldor,66
1,Dreufreu,hyjal,66
0,Müffinen,kazzak,66
1,Shakys,sanguino,66
0,Хуряк,soulflayer,66
1,Kentho,ysondre,66
3,Omenakaarme,silvermoon,66
0,Wahar,ghostlands,66
4,Mänoplas,dun-modr,66
1,Beigrim,ravenholdt,66
3,Akarioushiza,blackhand,66
0,Llyara,blackmoore,66
3,Кусочекдобра,gordunni,66
2,Yckel,archimonde,66
1,Radøx,archimonde,66
1,Jesiica,dun-modr,66
4,Darkhammer,uldaman,66
2,Chargoul,archimonde,66
0,Draklisosse,krasus,66
4,Aratrok,elune,66
3,Sleepydon,khaz-modan,66
2,Teåh,ysondre,66
4,Ксандеркейдж,howling-fjord,66
2,Янетирион,goldrinn,66
2,Dësire,frostmane,66
2,Инфрагилис,fordragon,66
1,Murielbagge,ravencrest,66
4,Dxr,antonidas,66
3,Luxora,sylvanas,66
0,Shamalaiah,pozzo-delleternità,66
3,Fâren,hyjal,66
0,Zerôo,archimonde,66
3,Zoll,emerald-dream,66
3,Glicynia,doomhammer,66
0,Trasher,nordrassil,66
4,Мануэлочка,gordunni,66
1,Florki,blackhand,66
3,Qunaii,defias-brotherhood,66
1,Meteoupala,medivh,66
3,Jonbeng,sylvanas,66
0,Confesser,silvermoon,66
0,Qwerdin,draenor,66
4,Hashcat,defias-brotherhood,66
4,Destic,ravencrest,66
1,Церейрус,gordunni,66
4,Xénobia,hyjal,66
0,Xquizite,kazzak,66
2,Nolthee,ragnaros,66
4,Turelyon,tarren-mill,66
0,Néphalià,suramar,66
1,Raíjin,dalaran,66
2,Nanisunda,thrall,66
2,Faalcon,drakthul,66
0,Pasunepipe,sylvanas,66
1,Stephanofke,shadowsong,66
3,Knuthamsun,outland,66
4,Myssella,ravencrest,66
1,Wtfpal,khaz-modan,66
2,Панхирофос,gordunni,66
1,Palasite,argent-dawn,66
2,Ergard,the-maelstrom,66
2,Indjanac,tarren-mill,66
0,Pwênt,chamber-of-aspects,66
3,Pajadin,sylvanas,66
1,Korlsh,hyjal,66
0,Eärfalas,ysondre,66
3,Lottot,hyjal,66
4,Luca,trollbane,66
2,Sealofbadass,trollbane,66
0,Vish,balnazzar,66
1,Lâureline,ysondre,66
1,Vavaculoo,karazhan,66
4,Djarlstam,arathor,66
4,Fraggy,emerald-dream,66
4,Netorare,garona,66
4,Алотиель,howling-fjord,66
0,Astart,khaz-modan,66
3,Кабриана,gordunni,66
1,Tuor,shattrath,66
0,Pyhäjyrä,stormreaver,66
1,Scoxx,twilights-hammer,66
3,Петушарий,lich-king,66
4,Покеда,galakrond,66
1,Uun,dun-morogh,66
2,Ктун,blackscar,66
4,Palabaron,silvermoon,66
1,Rigbörg,medivh,66
4,Lirînaya,antonidas,66
2,Valarion,tyrande,66
4,Acrome,dun-modr,66
0,Divinîty,suramar,66
2,Kurtis,dalaran,66
1,Calypsëa,hyjal,66
1,Crøfth,dun-modr,66
1,Гнур,gordunni,66
3,Pattex,antonidas,66
3,Sandà,antonidas,66
3,Enjoythelife,twisting-nether,66
1,Lumïz,dun-modr,66
1,Szeiriosz,silvermoon,66
1,Hopvang,drekthar,66
0,Poggér,archimonde,66
3,Lactadin,kazzak,66
0,Baback,sylvanas,66
0,Meganefox,suramar,66
3,Tyrâel,nathrezim,66
3,Hellobill,aerie-peak,66
4,Adrux,dun-modr,66
3,Bââng,aegwynn,66
3,Nhano,les-sentinelles,66
3,Angrod,medivh,66
0,Sarkän,suramar,66
2,Чикатилище,eversong,66
4,Арчихпро,soulflayer,66
1,Кейландар,howling-fjord,66
1,Ðrann,hyjal,66
2,Wtyou,blackhand,66
0,Glückskreuza,blackmoore,66
4,Krisastas,ysondre,66
0,Gilrock,ravencrest,66
0,Rhimto,der-abyssische-rat,66
0,Cixsmens,chants-éternels,66
1,Cachifirulo,colinas-pardas,66
0,Meyraçk,hyjal,66
3,Körm,kaelthas,66
